rho_a(555)  rho_a(659)  rho_a(865)  rho_a(1375)  rho_a(1610)  rho_a(2250)  
  7.55078082E-03   6.19869385E-03   4.48170576E-03   2.66782153E-03   2.10072270E-03   1.04834479E-03 
  1.12772015E-03   9.21042126E-04   7.00676777E-04   3.96319108E-04   2.95602634E-04   1.47590050E-04 
  3.50349291E-04   2.71206797E-04   1.67632600E-04   6.84685485E-05   4.73798259E-05   2.24897237E-05 
  9.63407752E-04   8.57087984E-04   6.70115060E-04   4.67597825E-04   4.26920623E-04   3.59033815E-04 
  5.39388468E-03   4.42222760E-03   2.47599094E-03   5.44321760E-04   2.94470729E-04   9.58615390E-05 
  1.05627582E-03   8.32744103E-04   5.19665253E-04   1.65410119E-04   9.63215409E-05   2.89443767E-05 
  1.25014639E-02   1.06923649E-02   7.33236951E-03   2.88180277E-03   1.90391919E-03   8.50237959E-04 
  1.37709525E-03   1.11990530E-03   6.95629776E-04   2.22963265E-04   1.35793732E-04   4.97107378E-05 
  7.41716305E-04   6.97067652E-04   5.65854970E-04   3.38342422E-04   2.67393225E-04   1.56764213E-04 
  8.47061519E-04   7.81546784E-04   6.97930028E-04   7.57643488E-04   7.92883509E-04   8.40969024E-04 
  5.76827712E-04   4.82451734E-04   3.59027397E-04   1.95255470E-04   1.50649695E-04   7.70350023E-05 
  8.73885261E-04   6.47409714E-04   3.93549128E-04   2.24735592E-04   1.79706615E-04   9.00245233E-05 
  1.20559458E-04   1.44234845E-04   1.58248504E-04   1.69499302E-04   1.67202244E-04   1.43218624E-04 
  9.30406655E-04   7.38931833E-04   5.26439916E-04   2.85049193E-04   2.11947963E-04   1.01594516E-04 
  7.41379531E-03   5.95899343E-03   3.98091001E-03   1.62135400E-03   1.06966032E-03   3.70793304E-04 
  1.96714381E-04   1.54848167E-04   1.07215083E-04   5.43904718E-05   4.08989735E-05   2.19343009E-05 
  2.28138490E-02   1.91588981E-02   1.32478109E-02   6.61024066E-03   5.35660582E-03   3.55319725E-03 
  9.78199710E-04   8.25632133E-04   5.08574549E-04   2.12139333E-04   1.76339326E-04   1.44834518E-04 
  5.34241789E-04   4.51626361E-04   3.70109898E-04   2.65107589E-04   2.42992386E-04   1.97665602E-04 
  1.66624323E-02   1.40194606E-02   8.88649270E-03   2.60706752E-03   1.48757326E-03   4.72700151E-04 
  7.41738336E-03   6.16416412E-03   4.38731128E-03   2.20049056E-03   1.59882017E-03   6.94056035E-04 
  2.46197703E-03   2.27442574E-03   1.78823160E-03   1.14439029E-03   9.84720594E-04   5.98158796E-04 
  2.04765967E-03   1.69633099E-03   1.16618587E-03   8.00692284E-04   7.61992713E-04   6.79795983E-04 
  5.32290902E-03   4.26495890E-03   2.98968557E-03   1.47367177E-03   1.08751018E-03   5.45205480E-04 
  4.29035358E-03   3.54378894E-03   2.03245409E-03   4.31822278E-04   2.07454805E-04   3.75664256E-05 
  7.63261248E-02   6.79789360E-02   4.15428090E-02   1.07829951E-02   6.85399719E-03   3.97082987E-03 
  1.46815653E-03   1.49384369E-03   1.48824932E-03   1.35028469E-03   1.24078007E-03   9.14820523E-04 
  1.71831070E-03   1.40349401E-03   9.30593840E-04   3.88639178E-04   2.73881937E-04   1.45257572E-04 
  2.20276939E-03   1.82181181E-03   1.27180302E-03   7.30307046E-04   6.24465229E-04   4.74384131E-04 
  9.68015807E-05   7.82987527E-05   5.27296678E-05   2.73356148E-05   2.23699787E-05   1.64842905E-05 
  4.04631638E-02   3.69267857E-02   2.94107754E-02   2.29117314E-02   2.19257412E-02   1.91896403E-02 
  2.54429515E-03   2.04719456E-03   1.19217990E-03   2.77145585E-04   1.31940415E-04   1.78026759E-05 
  5.90069867E-03   5.18899044E-03   4.01660208E-03   2.58754260E-03   2.01486240E-03   1.29639482E-03 
  6.53285055E-03   5.40471374E-03   4.23074373E-03   3.28782392E-03   2.86518201E-03   2.23242137E-03 
  2.43421482E-03   2.04589442E-03   1.58568373E-03   1.15851681E-03   1.08540448E-03   9.65585247E-04 
  6.17946423E-03   4.87276719E-03   2.94748265E-03   1.25706960E-03   9.93817545E-04   7.60218929E-04 
  2.60935021E-03   1.99524511E-03   1.12601654E-03   3.02829147E-04   1.76245114E-04   6.78515169E-05 
  3.64166944E-02   3.45638334E-02   2.78374117E-02   1.34682693E-02   9.38256699E-03   4.12393770E-03 
  1.92297732E-03   1.58450418E-03   9.39795987E-04   3.74889837E-04   3.12844167E-04   2.54065181E-04 
  2.46899581E-03   1.90412014E-03   1.13620909E-03   3.99918365E-04   2.69507676E-04   1.36877462E-04 
  2.12732944E-03   2.30700783E-03   2.07459201E-03   1.67997609E-03   1.52466058E-03   1.15808021E-03 
  1.22284552E-04   9.51126650E-05   5.93200001E-05   1.97713589E-05   1.20626478E-05   4.27848900E-06 
  2.69547301E-04   2.14273598E-04   1.51165099E-04   8.46539535E-05   6.43285053E-05   3.56465464E-05 
  3.63878541E-02   3.23628185E-02   2.34134260E-02   1.04002701E-02   7.57520302E-03   4.55807162E-03 
  2.87314777E-03   2.33489376E-03   1.61764887E-03   7.59297590E-04   5.45063001E-04   2.66493348E-04 
  2.73071263E-04   2.19445690E-04   1.46704779E-04   6.33276300E-05   4.43735192E-05   1.94906821E-05 
  6.22256407E-03   4.80054924E-03   3.16629286E-03   1.31275117E-03   8.38096919E-04   2.61335691E-04 
  8.15562150E-04   6.35011898E-04   3.94649851E-04   1.33690741E-04   8.28450528E-05   3.22501205E-05 
  1.99172789E-03   1.56153627E-03   1.02440347E-03   4.34727367E-04   3.03103711E-04   1.42653560E-04 
  7.17035440E-04   5.73715678E-04   3.59835285E-04   1.39354930E-04   9.30588923E-05   3.22438658E-05 
  1.99713523E-02   1.66190449E-02   1.15756430E-02   5.11597138E-03   3.60232764E-03   1.56286921E-03 
  4.72346861E-04   3.76359342E-04   2.82843959E-04   1.91355553E-04   1.60254924E-04   1.06346905E-04 
  9.66059256E-05   7.68229517E-05   4.98440731E-05   2.26829693E-05   1.71402628E-05   9.49673752E-06 
  1.15329385E-03   9.81566736E-04   6.71042282E-04   3.25825224E-04   2.58003358E-04   1.89528952E-04 
  1.04665398E-02   8.41011220E-03   5.75464947E-03   2.37141651E-03   1.50964298E-03   4.48419849E-04 
  1.02719566E-02   8.83163905E-03   6.69470776E-03   3.82269404E-03   3.11081730E-03   1.96886481E-03 
  8.79932252E-04   7.07817616E-04   4.44535215E-04   1.43590108E-04   8.58658416E-05   2.79160997E-05 
  1.68109311E-03   1.32083692E-03   8.08925262E-04   2.91700814E-04   1.95953956E-04   9.42120925E-05 
  3.52269210E-04   2.92959469E-04   2.14012133E-04   1.03632383E-04   7.59019155E-05   4.17192907E-05 
  6.93093546E-04   5.97185395E-04   4.45289707E-04   2.92168417E-04   2.60696411E-04   1.89957999E-04 
  2.42734307E-02   2.25176558E-02   1.80588483E-02   1.30045713E-02   1.18532360E-02   9.15388586E-03 
  6.88592556E-04   6.78968799E-04   6.52541450E-04   6.81509923E-04   6.46722307E-04   6.06381481E-04 
  2.58794647E-02   2.29418389E-02   1.47888135E-02   5.93222603E-03   4.74418294E-03   3.70643015E-03 
  1.97750466E-03   1.63002331E-03   9.38351171E-04   2.74692974E-04   1.87926315E-04   1.13968388E-04 
  3.57948200E-02   3.12416414E-02   2.21320264E-02   8.00825648E-03   4.78272487E-03   1.34028613E-03 
  1.93950036E-03   1.56101939E-03   1.07151178E-03   4.73159269E-04   3.23676572E-04   1.27473264E-04 
  5.39526204E-03   5.12539659E-03   5.01233623E-03   4.95184437E-03   4.75136406E-03   4.48354157E-03 
  4.39976536E-03   3.55427565E-03   2.32694114E-03   1.32260504E-03   1.16224465E-03   9.39381292E-04 
  2.72909398E-03   2.09641515E-03   1.31356272E-03   6.14162025E-04   4.96327921E-04   3.70641118E-04 
  4.26358559E-02   3.56488782E-02   2.30880898E-02   9.44563279E-03   7.41549905E-03   5.21152928E-03 
  1.68541644E-02   1.37234105E-02   8.79688438E-03   3.00317886E-03   1.83786725E-03   5.64896767E-04 
  3.98296212E-04   3.91444174E-04   4.49198067E-04   4.42391836E-04   4.24210191E-04   3.56842536E-04 
  8.26143310E-04   8.01141428E-04   6.91783246E-04   5.23882398E-04   4.64744341E-04   3.31487084E-04 
  5.55433222E-03   4.23127522E-03   2.46065388E-03   8.06071665E-04   4.92414899E-04   1.29901706E-04 
  2.05234690E-02   2.04158474E-02   1.93591694E-02   1.73297401E-02   1.61419400E-02   1.42758182E-02 
  1.62388627E-02   1.31487006E-02   7.83999193E-03   2.75850177E-03   2.00522247E-03   1.28083637E-03 
  3.04038306E-02   2.52503323E-02   1.61485588E-02   5.28267340E-03   3.23630519E-03   1.21990691E-03 
  2.09140355E-04   1.69289470E-04   1.23724357E-04   7.91884772E-05   6.25745541E-05   3.52166821E-05 
  1.10097334E-02   1.02398495E-02   8.71662404E-03   6.61512194E-03   5.89168456E-03   4.31113012E-03 
  2.31717252E-03   1.85896592E-03   1.30570442E-03   5.77485229E-04   3.87731683E-04   1.47034512E-04 
  5.50309597E-04   4.26099780E-04   2.68073496E-04   1.10134431E-04   7.95883010E-05   4.44586697E-05 
  3.29032034E-03   2.68509446E-03   1.82096695E-03   9.05894911E-04   7.00460974E-04   4.14339366E-04 
  3.30797167E-03   2.74449697E-03   2.02767159E-03   1.11618555E-03   8.85734654E-04   5.98429479E-04 
  3.48252534E-03   2.84289300E-03   1.88675964E-03   7.13882120E-04   4.64337226E-04   1.89107227E-04 
  1.10888950E-02   8.81449147E-03   5.53830233E-03   1.88262192E-03   1.15594694E-03   4.17613042E-04 
  4.99069856E-03   4.07351186E-03   2.96769288E-03   1.47484449E-03   1.13693427E-03   7.29844193E-04 
  1.39691492E-03   1.08647846E-03   7.40943425E-04   4.54606261E-04   3.98550852E-04   3.22416182E-04 
  8.76989330E-03   7.03986958E-03   4.40218670E-03   1.61121130E-03   1.05857000E-03   4.63612445E-04 
  2.28809445E-04   1.86567897E-04   1.27546142E-04   6.32370076E-05   4.78889359E-05   2.75906196E-05 
  1.25727713E-03   1.08450310E-03   8.49074178E-04   6.08597889E-04   5.55005977E-04   4.58527443E-04 
  1.17879880E-02   1.22373516E-02   1.11423985E-02   7.38910829E-03   6.36799845E-03   4.14887734E-03 
  1.04017944E-02   8.64562864E-03   6.07626732E-03   2.92746774E-03   2.12243941E-03   1.03021269E-03 
  2.04980993E-02   1.63184486E-02   9.64006560E-03   2.86635078E-03   1.80746359E-03   8.76844888E-04 
  3.74068519E-04   3.17589070E-04   2.19795908E-04   1.18184021E-04   9.61979372E-05   6.19305684E-05 
  2.37845955E-03   1.91652580E-03   1.33396166E-03   6.24543213E-04   4.42640127E-04   1.93983445E-04 
  2.75672549E-03   2.20692654E-03   1.43561024E-03   5.70109088E-04   3.95337521E-04   2.01496994E-04 
  3.36041789E-03   2.69276555E-03   1.77002936E-03   7.37410466E-04   5.29144392E-04   2.92548649E-04 
  2.66563678E-04   2.10007556E-04   1.45878941E-04   7.93204900E-05   6.54299615E-05   4.75728670E-05 
  2.32437061E-03   1.84104270E-03   1.25779925E-03   6.12658590E-04   4.78530486E-04   3.05603431E-04 
  8.74732096E-04   7.50593481E-04   5.74539769E-04   3.72490614E-04   3.20535717E-04   2.36202226E-04 
  1.65309452E-02   1.48304238E-02   1.08339859E-02   7.09435046E-03   6.64997949E-03   6.11162539E-03 
  1.79167140E-02   1.78169396E-02   1.72379737E-02   1.42695995E-02   1.29447883E-02   1.03071102E-02 
  7.47466389E-04   5.99772442E-04   3.85633990E-04   1.49923974E-04   1.02994729E-04   5.64868787E-05 
  4.49190175E-02   3.80391497E-02   2.48517048E-02   7.67326194E-03   4.36973806E-03   1.30937439E-03 
  9.99398454E-03   8.77534731E-03   6.78810528E-03   5.09413029E-03   4.82163394E-03   4.51927489E-03 
  5.58041977E-02   4.81034674E-02   2.93722640E-02   6.81942934E-03   3.56378969E-03   9.88545338E-04 
  2.27231151E-04   1.78015413E-04   1.16345554E-04   4.77402755E-05   3.25552887E-05   1.38716974E-05 
  1.19884580E-01   1.14691555E-01   8.04921208E-02   2.18904260E-02   1.28079225E-02   5.73070551E-03 
  9.81366335E-02   9.68033004E-02   7.38077302E-02   2.94576128E-02   2.16323816E-02   1.30323194E-02 
  2.65303069E-03   3.07904221E-03   2.95829693E-03   3.19025222E-03   2.71590216E-03   2.36275744E-03 
  9.76554801E-03   9.79625942E-03   9.18882356E-03   7.72665720E-03   7.04813970E-03   5.58308247E-03 
  6.68173431E-04   4.99801424E-04   3.06864184E-04   9.36856629E-05   4.72563386E-05   6.53812847E-06 
  1.99652081E-04   1.74353047E-04   1.39853125E-04   9.39790444E-05   8.26647776E-05   6.29199183E-05 
  2.08008356E-03   1.81323875E-03   1.35825191E-03   7.13305839E-04   5.64176362E-04   3.78003944E-04 
  1.87550765E-03   1.47537813E-03   9.33271079E-04   3.24873355E-04   2.03869499E-04   7.87700265E-05 
  8.64153686E-04   6.84024651E-04   3.97159394E-04   1.31277490E-04   9.03904216E-05   4.96479953E-05 
  5.56944311E-03   4.72945020E-03   3.40539405E-03   2.38152172E-03   2.13580190E-03   1.78584342E-03 
  2.18987232E-03   1.75982078E-03   1.03591683E-03   4.04761656E-04   3.22566396E-04   2.44957343E-04 
  1.39459770E-03   1.14472061E-03   8.42407651E-04   4.83619216E-04   3.77639649E-04   2.24163668E-04 
  2.45635248E-03   2.05792389E-03   1.54740210E-03   9.15877033E-04   7.01626986E-04   3.70910369E-04 
  1.51720554E-03   1.35605563E-03   1.11060286E-03   7.11612221E-04   5.53693166E-04   2.99392206E-04 
  8.49897986E-03   9.38981213E-03   9.30186455E-03   9.33244312E-03   9.23454233E-03   8.35768702E-03 
  2.03386170E-02   1.80915818E-02   1.42522423E-02   1.11534970E-02   1.05790181E-02   9.47340296E-03 
  1.44177559E-03   1.16227418E-03   8.12628708E-04   5.09474410E-04   4.48895990E-04   3.60734374E-04 
  6.97078806E-03   5.46797999E-03   3.44730494E-03   1.30142713E-03   8.71174985E-04   4.13487197E-04 
  4.13544794E-03   3.46200063E-03   2.43349868E-03   1.22399138E-03   9.18217689E-04   4.35711005E-04 
  1.33356016E-02   1.09373410E-02   7.34697581E-03   3.26011341E-03   2.44594031E-03   1.52722678E-03 
  9.92836393E-03   7.72924849E-03   4.83846328E-03   2.18246324E-03   1.73250007E-03   1.25213085E-03 
  3.64951040E-03   2.91800953E-03   1.97989933E-03   8.45008938E-04   5.91464942E-04   3.19519146E-04 
  7.16408119E-04   5.69466674E-04   3.67637230E-04   1.50714940E-04   1.07660336E-04   5.96969135E-05 
  1.77472704E-03   1.33422131E-03   7.60134630E-04   2.45043841E-04   1.62892872E-04   8.57158060E-05 
  4.59524591E-04   3.69334148E-04   2.36118082E-04   1.07693279E-04   8.77963015E-05   6.56131430E-05 
  2.78947654E-02   2.31874824E-02   1.54504038E-02   5.58677959E-03   3.53542539E-03   1.24672952E-03 
  8.92764818E-04   7.69826769E-04   5.54570856E-04   3.32996661E-04   2.86104161E-04   1.89481823E-04 
  6.67214406E-02   6.30755644E-02   4.35173949E-02   1.19111963E-02   6.82560192E-03   2.62669767E-03 
  8.02953771E-03   6.50971752E-03   4.27638940E-03   1.68794702E-03   1.19619204E-03   6.81808122E-04 
  7.47703594E-03   6.01450704E-03   3.91449193E-03   1.65507692E-03   1.19246954E-03   6.33306609E-04 
  1.14985213E-04   1.04702691E-04   9.32752145E-05   9.16358762E-05   9.40085173E-05   8.65281439E-05 
  4.12081679E-03   3.35807498E-03   2.07004951E-03   5.98053766E-04   3.38344200E-04   8.98864649E-05 
  1.43390020E-02   1.20954638E-02   8.92509875E-03   6.33935543E-03   5.78591216E-03   5.00693805E-03 
  1.14224009E-03   9.28993110E-04   6.20797894E-04   3.18133272E-04   2.54719356E-04   1.75261472E-04 
  2.06750006E-02   1.81530815E-02   1.26641190E-02   6.21748102E-03   4.90545323E-03   3.35130797E-03 
  1.29677542E-02   1.10140885E-02   7.81965874E-03   4.55720080E-03   3.92961472E-03   3.18503335E-03 
  3.49231485E-03   2.86209072E-03   1.67652999E-03   4.41278445E-04   2.57232821E-04   9.48642872E-05 
  2.06592217E-02   1.75632000E-02   1.21027390E-02   6.17839413E-03   5.07263558E-03   3.90586269E-03 
  8.08157035E-03   7.00192893E-03   4.64327667E-03   2.24037962E-03   1.83434357E-03   1.32202257E-03 
  5.72237571E-04   4.53124149E-04   2.82927942E-04   1.24494809E-04   9.61265127E-05   6.47085047E-05 
  3.25985023E-02   2.81316318E-02   1.79187813E-02   4.95424065E-03   2.72611482E-03   6.83333248E-04 
  6.61859874E-04   5.21886637E-04   3.35344774E-04   1.27629822E-04   8.40874347E-05   3.51831308E-05 
  2.12863737E-02   1.78214403E-02   1.26841464E-02   5.68518038E-03   4.02755125E-03   1.93615591E-03 
  1.09648779E-02   9.99973083E-03   8.31311064E-03   5.78493180E-03   4.94852465E-03   3.55173698E-03 
  4.10390262E-04   3.21724704E-04   2.16196651E-04   1.04130111E-04   7.38178872E-05   2.84056301E-05 
  1.23252397E-02   1.02701820E-02   7.22039945E-03   3.81275429E-03   3.13194411E-03   2.22601844E-03 
  3.54530014E-03   2.84005262E-03   1.76917224E-03   6.65783606E-04   4.65334669E-04   2.47438534E-04 
  3.19452715E-04   2.65450881E-04   1.78680536E-04   8.37669258E-05   6.58826963E-05   3.75278341E-05 
  3.39222867E-04   2.86044345E-04   2.22070912E-04   1.48364623E-04   1.27495292E-04   9.75678677E-05 
  2.36273605E-03   1.93647797E-03   1.33114228E-03   5.72424256E-04   3.89506897E-04   1.62605598E-04 
  2.10472759E-02   1.78465895E-02   1.27493611E-02   5.78506604E-03   4.03216080E-03   1.69617093E-03 
  9.50584412E-03   7.43486942E-03   4.56397627E-03   1.65740968E-03   1.12884863E-03   5.92224156E-04 
  3.07915707E-04   2.36570076E-04   1.42923775E-04   5.55012178E-05   3.97715493E-05   2.34326366E-05 
  4.94046184E-03   4.21298220E-03   3.18918486E-03   1.87457510E-03   1.48727047E-03   9.46095661E-04 
  3.75388332E-02   3.30382198E-02   2.22363553E-02   8.42593480E-03   5.83549325E-03   3.14571999E-03 
  7.30767750E-05   6.23123642E-05   4.89197678E-05   3.57847519E-05   3.16508018E-05   2.51746529E-05 
  4.35685937E-04   3.42060430E-04   1.89646748E-04   4.02035489E-05   1.90880096E-05   3.43783430E-06 
  1.79648464E-02   1.51289379E-02   1.08955942E-02   5.94990083E-03   4.90780808E-03   3.41776624E-03 
  8.80726194E-04   7.74656997E-04   6.73032987E-04   4.72058917E-04   4.03852247E-04   2.93622267E-04 
  4.28788397E-03   3.23408875E-03   1.89217219E-03   6.56439974E-04   4.46402793E-04   2.29301357E-04 
  1.47361516E-03   1.23427695E-03   7.57207727E-04   3.08512755E-04   2.54988752E-04   2.10094505E-04 
  1.64620028E-04   1.21236037E-04   6.53102958E-05   2.26705862E-05   1.64418372E-05   8.62324045E-06 
  5.83322363E-03   5.07387560E-03   3.92641480E-03   2.89377398E-03   2.37535630E-03   1.54141100E-03 
  4.03870844E-04   3.31581204E-04   2.41765085E-04   1.34301929E-04   1.02018068E-04   4.86120233E-05 
  1.32189307E-04   1.23564588E-04   1.17351161E-04   9.09738452E-05   7.85495665E-05   5.20676515E-05 
  9.46759724E-03   7.85691779E-03   5.57757545E-03   2.54524636E-03   1.68374051E-03   5.42730195E-04 
  2.67156391E-02   2.20917145E-02   1.36448611E-02   5.28405310E-03   4.09179146E-03   2.85479699E-03 
  1.06782743E-03   8.30032614E-04   5.26081160E-04   1.76545263E-04   1.04134529E-04   3.18754890E-05 
  7.03389223E-03   6.23424431E-03   5.25787103E-03   4.51409569E-03   4.36627423E-03   3.90968555E-03 
  6.99735086E-04   6.26813594E-04   4.98948955E-04   3.55437416E-04   3.27369999E-04   2.62896535E-04 
  8.42332654E-02   7.44767984E-02   4.70858686E-02   1.62711142E-02   1.24264144E-02   9.32584891E-03 
  2.83500698E-03   2.50109121E-03   1.94671001E-03   1.25016709E-03   1.09771560E-03   7.49186166E-04 
  4.21813143E-03   3.74684843E-03   2.98504821E-03   2.28420668E-03   2.10396535E-03   1.77195655E-03 
  4.04675817E-04   3.16031612E-04   1.95194092E-04   7.21252524E-05   4.88930138E-05   2.42225681E-05 
  2.98088941E-04   2.29252761E-04   1.43883259E-04   5.80361979E-05   4.16362292E-05   2.45117859E-05 
  5.11865324E-04   4.53875407E-04   3.91270758E-04   3.22942605E-04   3.10402844E-04   2.44241575E-04 
  4.66113711E-02   4.17566669E-02   2.84551599E-02   8.55989195E-03   4.83117192E-03   1.30160385E-03 
  1.47596913E-02   1.43141218E-02   1.36322795E-02   1.35443760E-02   1.27731929E-02   1.12934409E-02 
  3.71789788E-04   3.08812162E-04   2.05746864E-04   1.10979502E-04   9.56431175E-05   8.41308999E-05 
  1.36609949E-02   1.18595108E-02   8.86162596E-03   6.68316098E-03   6.57018545E-03   6.32679669E-03 
  2.41256016E-02   2.01726411E-02   1.38535535E-02   6.04740457E-03   4.37477239E-03   2.29332270E-03 
  1.75527203E-02   1.50891377E-02   1.06305188E-02   4.32325495E-03   2.78976844E-03   1.00167966E-03 
  5.43846241E-04   4.24968623E-04   2.74236171E-04   1.76890813E-04   1.68485496E-04   1.59897162E-04 
  8.73407665E-03   7.02993254E-03   4.86453564E-03   2.31452859E-03   1.72719398E-03   1.03069492E-03 
  1.00979483E-03   8.58281605E-04   6.69879824E-04   4.72302448E-04   3.85606612E-04   2.25445871E-04 
  2.16764113E-02   1.84415721E-02   1.30262059E-02   5.88496686E-03   4.15862965E-03   1.91223061E-03 
  8.87964073E-04   7.53063980E-04   5.70118209E-04   3.38374980E-04   2.74295083E-04   1.83263906E-04 
  9.72898370E-03   8.08928172E-03   5.44928002E-03   2.19511151E-03   1.46651685E-03   4.73751671E-04 
  5.25301272E-03   4.32838049E-03   3.14149947E-03   1.52482456E-03   1.13687904E-03   6.47186203E-04 
  4.54456910E-03   4.00979196E-03   2.62166224E-03   9.98954699E-04   7.14798190E-04   4.19951890E-04 
  1.04224532E-02   8.75625795E-03   6.26297022E-03   3.58259367E-03   3.01491350E-03   2.13789216E-03 
  2.15802605E-02   1.77445979E-02   1.17182558E-02   4.09298214E-03   2.53253955E-03   8.77575346E-04 
  3.47842525E-03   2.67550958E-03   1.59916871E-03   4.77985804E-04   2.78793730E-04   8.70915053E-05 
  8.69890775E-05   9.00388669E-05   8.42520382E-05   7.63500021E-05   7.07804497E-05   5.75635435E-05 
  5.32278035E-02   5.30597707E-02   4.29500269E-02   1.77210960E-02   1.12589944E-02   3.70021839E-03 
  1.26582481E-02   1.02136609E-02   6.53379389E-03   2.05671195E-03   1.15034923E-03   2.71142410E-04 
  2.47562827E-03   1.98684502E-03   1.20788117E-03   3.54779631E-04   2.04020141E-04   6.71362866E-05 
  1.36960605E-03   1.08528451E-03   7.00643174E-04   2.89900169E-04   2.07463261E-04   1.07501124E-04 
  4.71047190E-03   3.82972012E-03   2.61261873E-03   1.28167479E-03   1.01073759E-03   6.93797589E-04 
  4.86158558E-04   3.78767953E-04   2.31164665E-04   6.98206920E-05   3.97544994E-05   1.21166872E-05 
  2.85220620E-02   2.31622658E-02   1.43847318E-02   4.30778435E-03   2.53153999E-03   8.32440261E-04 
  8.17456319E-03   7.08294701E-03   5.21770501E-03   2.72943840E-03   2.11054416E-03   1.30315345E-03 
  4.96074160E-04   3.79481170E-04   2.40075306E-04   9.69473576E-05   6.27106144E-05   2.21215922E-05 
  8.68649464E-04   7.00561373E-04   4.96635405E-04   2.82608094E-04   2.44051982E-04   2.00857615E-04 
  2.72330798E-03   2.26713578E-03   1.47900899E-03   5.63816003E-04   3.77197727E-04   1.49783783E-04 
  5.36543341E-03   4.36918223E-03   2.85362132E-03   1.15470014E-03   7.83743612E-04   3.02115126E-04 
  4.66355087E-02   4.31456253E-02   3.20847945E-02   1.37635543E-02   9.59512069E-03   4.81429508E-03 
  1.90645681E-04   1.62221642E-04   1.39066507E-04   1.26728925E-04   1.20052667E-04   1.07410066E-04 
  9.98759714E-03   8.29884947E-03   5.64344060E-03   2.74880747E-03   2.12661353E-03   1.32940855E-03 
  1.16954733E-04   1.04822641E-04   8.36861791E-05   5.47345243E-05   4.54736889E-05   2.89483196E-05 
  6.53345627E-05   5.17816193E-05   3.90404175E-05   2.65147894E-05   2.18585408E-05   1.29097772E-05 
  2.24731403E-03   2.18914290E-03   1.83578058E-03   1.45665407E-03   1.32178831E-03   1.00987610E-03 
  2.05270628E-02   1.84852117E-02   1.50765617E-02   1.06740363E-02   9.03882965E-03   6.67818389E-03 
  2.44154540E-03   1.94707367E-03   1.26682103E-03   5.31950388E-04   3.86662170E-04   2.29794223E-04 
  3.36552067E-03   2.54966225E-03   1.53607457E-03   4.99193998E-04   2.92063082E-04   9.20912673E-05 
  1.03724823E-02   9.70172331E-03   8.02488312E-03   5.33873278E-03   4.44169934E-03   2.61796841E-03 
  2.79768831E-03   2.43943017E-03   2.06058636E-03   1.59777846E-03   1.50186236E-03   1.25117676E-03 
  1.85842682E-03   1.49359481E-03   1.03466268E-03   4.92322036E-04   3.54264090E-04   1.60686632E-04 
  2.63580096E-02   2.29411926E-02   1.65766106E-02   8.53240913E-03   6.82788857E-03   4.72364414E-03 
  2.64453765E-03   2.38697379E-03   1.90414854E-03   1.30078677E-03   1.15244763E-03   8.45115318E-04 
  7.33758338E-03   6.85763429E-03   6.17815161E-03   4.90223877E-03   4.27357620E-03   3.09548838E-03 
  9.01536606E-04   7.15229020E-04   4.33642977E-04   1.72650609E-04   1.25031076E-04   5.72426239E-05 
  4.39991072E-02   4.07784216E-02   3.29338511E-02   1.99217957E-02   1.61547602E-02   8.77343816E-03 
  1.95679301E-04   1.76808636E-04   1.48588814E-04   1.09018965E-04   9.76196628E-05   7.95278762E-05 
  1.28639572E-02   1.04514197E-02   7.21424194E-03   3.71388111E-03   3.02282032E-03   2.24845471E-03 
  2.27392388E-03   2.37675841E-03   2.04229161E-03   1.46822164E-03   1.39892857E-03   7.71102511E-04 
  3.40786141E-02   2.89148858E-02   1.85010928E-02   7.07607394E-03   5.25688280E-03   3.58952653E-03 
  2.34310814E-03   1.84709697E-03   1.23626290E-03   5.05497833E-04   3.37571174E-04   1.29017455E-04 
  4.58328584E-03   3.57189359E-03   2.43512794E-03   1.20270132E-03   9.11792209E-04   5.92517016E-04 
  3.43428623E-02   3.04649456E-02   2.29523316E-02   1.64831169E-02   1.39736701E-02   8.19629717E-03 
  7.40820721E-04   6.07931099E-04   4.46181074E-04   2.72035264E-04   2.31559379E-04   1.74847161E-04 
  4.06060978E-03   3.27781539E-03   2.14122019E-03   7.46865419E-04   4.61017903E-04   1.58132643E-04 
  9.63162271E-03   8.80391882E-03   6.94941373E-03   3.93777550E-03   3.11856955E-03   1.78311587E-03 
  4.26797822E-04   3.25493222E-04   2.02107256E-04   9.91383590E-05   8.41342019E-05   6.60908096E-05 
  1.21154011E-03   9.74765079E-04   6.41951349E-04   3.43895078E-04   2.76196056E-04   1.86105582E-04 
  1.31457708E-04   1.06275586E-04   7.18790365E-05   3.29114251E-05   2.35798139E-05   1.15093863E-05 
  5.12756887E-02   4.46874154E-02   2.98361024E-02   8.72149323E-03   4.69862578E-03   1.01410754E-03 
  1.24026015E-04   1.05107607E-04   7.45994953E-05   4.42145388E-05   3.55959623E-05   2.31478516E-05 
  1.52885714E-03   1.24471203E-03   8.25384993E-04   3.18584980E-04   2.03694749E-04   6.61997727E-05 
  8.24977803E-03   6.61476101E-03   4.41393280E-03   2.29548267E-03   1.91464537E-03   1.50310821E-03 
  1.11903170E-03   9.63793235E-04   6.90215380E-04   3.79071142E-04   3.09171512E-04   2.18640846E-04 
  1.09579722E-02   9.81568454E-03   7.85271485E-03   6.34465064E-03   6.12003820E-03   5.45523309E-03 
