rho_a(555)  rho_a(659)  rho_a(865)  rho_a(1375)  rho_a(1610)  rho_a(2250)  
  3.80567175E-03   2.89307310E-03   1.73600859E-03   7.72705783E-04   5.85539445E-04   3.70330484E-04 
  3.59557915E-04   2.74806193E-04   1.74324712E-04   7.83146442E-05   5.88899476E-05   3.58911231E-05 
  8.66201218E-03   7.11556831E-03   4.70345626E-03   2.03492423E-03   1.52729073E-03   8.88035634E-04 
  9.16036974E-04   7.70990972E-04   5.64812653E-04   3.13112257E-04   2.48077824E-04   1.49635267E-04 
  4.17633219E-04   3.45020259E-04   2.57428569E-04   1.49211445E-04   1.13455609E-04   5.91983447E-05 
  6.06116398E-04   4.91489680E-04   3.35764195E-04   1.64733688E-04   1.25570921E-04   8.21253916E-05 
  2.34933820E-04   1.79647224E-04   1.10083309E-04   4.23923662E-05   2.98645594E-05   1.66070831E-05 
  2.08175372E-03   1.61798044E-03   1.11337493E-03   5.68194616E-04   4.08313956E-04   1.86961848E-04 
  1.69546915E-02   1.41200771E-02   1.04234378E-02   5.58868214E-03   4.20837334E-03   1.94259204E-03 
  1.39675894E-04   1.06709100E-04   6.60980751E-05   2.63318548E-05   1.88681070E-05   1.10423052E-05 
  1.97191478E-02   1.59351325E-02   1.00715187E-02   3.49684972E-03   2.28741922E-03   1.10874997E-03 
  1.40239905E-03   1.11740188E-03   7.58503489E-04   3.23950377E-04   2.24531183E-04   1.08702970E-04 
  3.23774125E-04   2.58195569E-04   1.67451789E-04   7.17014876E-05   5.24719696E-05   2.95702915E-05 
  2.67829273E-02   2.21115534E-02   1.43057552E-02   4.56859108E-03   2.68754272E-03   7.94594416E-04 
  3.00984417E-03   2.64600882E-03   2.00219228E-03   1.33108904E-03   1.18044019E-03   9.13150856E-04 
  1.26418993E-04   1.01698706E-04   6.66782497E-05   2.68404517E-05   1.75568573E-05   5.00806199E-06 
  2.62413414E-04   2.03728866E-04   1.33836569E-04   8.91965121E-05   7.47728102E-05   4.23114727E-05 
  5.53006263E-03   5.70665021E-03   5.58927517E-03   6.16246664E-03   6.37051279E-03   5.91285067E-03 
  1.31700369E-02   1.05029337E-02   6.13103065E-03   1.59853365E-03   8.70736314E-04   2.13540712E-04 
  2.27272111E-04   1.69238251E-04   1.03387671E-04   3.94461533E-05   2.64220194E-05   1.22837847E-05 
  4.90825367E-02   4.27280832E-02   2.89788295E-02   1.13472916E-02   8.09322577E-03   4.84738474E-03 
  5.93767084E-05   4.75684786E-05   3.14308097E-05   1.31467910E-05   8.88060579E-06   3.04039500E-06 
  2.45587625E-02   2.13911597E-02   1.56382186E-02   7.86294428E-03   6.01669626E-03   3.75765891E-03 
  2.11810368E-02   1.94604425E-02   1.65386090E-02   1.17275508E-02   1.04035867E-02   8.18217722E-03 
  7.28938444E-04   5.20090064E-04   3.15928073E-04   1.73604878E-04   1.36432115E-04   7.18595964E-05 
  1.01776380E-04   8.50019690E-05   6.02989042E-05   3.60824593E-05   3.11408309E-05   2.24980051E-05 
  2.26604465E-04   1.81849395E-04   1.35990673E-04   1.01129278E-04   9.49117157E-05   8.29110188E-05 
  1.28314892E-04   1.07217795E-04   7.65210026E-05   4.79588681E-05   4.27472205E-05   3.17429864E-05 
  2.83603606E-02   2.41336760E-02   1.70393071E-02   7.81397746E-03   5.64156728E-03   2.78255572E-03 
  3.75460314E-04   2.86147244E-04   1.69835947E-04   5.42546989E-05   3.37656046E-05   1.38170461E-05 
  1.54871964E-04   1.20967032E-04   7.80512172E-05   4.40219096E-05   3.92387049E-05   3.38891187E-05 
  1.09503550E-02   8.85972797E-03   5.85394722E-03   2.43316327E-03   1.72363479E-03   8.54770319E-04 
  1.41175129E-03   1.09500866E-03   6.70890236E-04   1.95985919E-04   1.03734018E-04   1.96063278E-05 
  1.57669151E-04   1.34202414E-04   9.86889958E-05   5.00426090E-05   3.71667359E-05   1.92621587E-05 
  6.88234730E-04   6.61862256E-04   7.43118892E-04   7.67480675E-04   7.28847150E-04   6.28455689E-04 
  1.52238299E-02   1.39420951E-02   1.19779207E-02   1.07035129E-02   1.00975322E-02   9.66092107E-03 
  9.08206742E-03   7.33075851E-03   4.51223666E-03   1.32719767E-03   7.57562144E-04   2.30168420E-04 
  3.49071819E-02   3.05433744E-02   2.25514261E-02   1.59094214E-02   1.52607045E-02   1.34204407E-02 
  9.78573973E-03   7.95359908E-03   5.72061432E-03   3.07547782E-03   2.31854559E-03   1.17505799E-03 
  9.34524552E-03   7.46980445E-03   4.59582201E-03   1.44151476E-03   8.65755762E-04   3.09202959E-04 
  3.05096308E-02   2.67547090E-02   1.67875842E-02   6.28886613E-03   4.96290417E-03   3.90389978E-03 
  3.96031869E-03   3.03661842E-03   1.77108590E-03   5.00960330E-04   2.87559846E-04   8.78315639E-05 
  3.39285943E-04   2.63516051E-04   1.66250144E-04   5.83973981E-05   3.66619652E-05   1.43562017E-05 
  7.46527195E-05   7.15141640E-05   6.50354368E-05   6.36698487E-05   6.23787087E-05   5.60375444E-05 
  1.79833194E-03   1.54467239E-03   1.34332754E-03   1.15690488E-03   1.09852604E-03   1.00637807E-03 
  1.20784063E-02   1.06393367E-02   8.84527523E-03   6.84109824E-03   6.45607770E-03   5.33397989E-03 
  3.86257352E-04   2.98291618E-04   1.83298361E-04   5.56822601E-05   3.10602875E-05   7.47632020E-06 
  2.13176569E-03   1.73277835E-03   1.29999797E-03   8.55048716E-04   7.15697204E-04   4.91232630E-04 
  1.19265853E-02   9.46420127E-03   6.12762746E-03   2.10706178E-03   1.25012513E-03   3.47045044E-04 
  3.44559252E-03   2.81257839E-03   1.85036699E-03   8.70416466E-04   7.05167537E-04   4.90351542E-04 
  2.26802033E-02   1.84539697E-02   1.07362232E-02   3.73976925E-03   2.86600695E-03   1.98930052E-03 
