R_toa(555)  R_toa(659)  R_toa(865)  R_toa(1375)  R_toa(1610)  R_toa(2250)  
  1.89237215E-02   1.01959514E-02   3.80352999E-03   1.06279121E-04   7.02216162E-04   3.59469332E-04 
  1.58822947E-02   6.32203468E-03   2.03055307E-03   1.00364196E-04   1.98375525E-04   6.66105824E-05 
  1.71214479E-02   9.71371091E-03   4.69526392E-03   8.01137065E-05   1.05735138E-03   5.24473856E-04 
  1.83292292E-02   1.01757217E-02   2.64237844E-03   9.18511815E-05   3.33276443E-04   1.43164024E-04 
  3.37472416E-02   1.29768838E-02   2.62939170E-03   1.03362680E-04   2.36830820E-04   7.77409800E-05 
  2.59025743E-02   2.05857516E-02   4.05302933E-03   1.17527305E-04   3.13850613E-04   1.17215952E-04 
  2.88649601E-02   1.23933715E-02   2.05343347E-03   7.11320772E-05   1.31845133E-04   3.83263657E-05 
  3.14363048E-02   1.39395905E-02   5.09557271E-03   1.81972766E-04   6.29347250E-04   2.03005587E-04 
  3.82833906E-02   2.20404058E-02   1.24292672E-02   1.37757237E-04   3.81051542E-03   1.55597546E-03 
  2.92788487E-02   1.15929830E-02   2.27104994E-03   9.32964108E-05   1.54678408E-04   4.36001543E-05 
  2.67824699E-02   1.74025614E-02   9.92502554E-03   8.67560489E-05   1.91333961E-03   8.28314323E-04 
  1.89974963E-02   9.51352848E-03   2.38108630E-03   7.71516713E-05   2.65190448E-04   9.45217874E-05 
  2.03787504E-02   7.46900870E-03   2.18111789E-03   1.01134622E-04   1.97576965E-04   6.19893220E-05 
  2.75942735E-02   1.77363208E-02   9.98362905E-03   8.24190243E-05   1.57482021E-03   4.19104967E-04 
  1.36970877E-02   6.14371349E-03   2.28199317E-03   5.65879806E-05   5.90776067E-04   3.58204723E-04 
  2.62290256E-02   9.71334973E-03   2.25179949E-03   1.02274331E-04   1.65746509E-04   4.18170402E-05 
  2.63766300E-02   1.33639710E-02   2.76091330E-03   9.92831996E-05   2.00771989E-04   5.78734431E-05 
  2.83118272E-02   1.27469013E-02   6.59584963E-03   7.72074117E-05   5.11673616E-03   4.17162401E-03 
  1.92354902E-02   1.07858441E-02   5.07494947E-03   8.70437374E-05   5.37914541E-04   1.19061360E-04 
  2.06874582E-02   8.93269807E-03   2.68570148E-03   1.06131061E-04   2.04813060E-04   5.18897978E-05 
  5.64799568E-02   4.46187500E-02   2.93535351E-02   9.71345591E-05   7.19817207E-03   3.78492590E-03 
  1.97441452E-02   8.33402857E-03   2.14395175E-03   9.92875010E-05   1.56011018E-04   3.96269145E-05 
  3.84725785E-02   2.67864543E-02   1.73923351E-02   1.38595462E-04   5.49079839E-03   3.03081747E-03 
  1.61859992E-02   1.13051222E-02   8.34513905E-03   5.46153763E-05   4.19163669E-03   2.83515107E-03 
  2.24966463E-02   9.54173454E-03   3.19923499E-03   1.32359808E-04   3.04796721E-04   9.15475967E-05 
  1.29276588E-02   5.94920270E-03   1.73418338E-03   8.28351080E-05   1.46249787E-04   4.49984704E-05 
  1.37031971E-02   6.97444960E-03   1.84584034E-03   8.06774047E-05   1.99928229E-04   9.32480905E-05 
  1.46144337E-02   6.35544001E-03   2.12799894E-03   1.07753915E-04   2.01652964E-04   6.77181877E-05 
  3.89795120E-02   2.61087980E-02   1.67050327E-02   1.08990086E-04   4.57743598E-03   1.97966893E-03 
  1.33248188E-02   5.67827297E-03   1.90341277E-03   8.76738953E-05   1.62715723E-04   4.37469465E-05 
  1.78420623E-02   6.26210333E-03   1.72284637E-03   7.90832129E-05   1.51945389E-04   5.51701380E-05 
  2.53160906E-02   1.49920265E-02   7.92412422E-03   1.09592956E-04   1.77587893E-03   7.73760444E-04 
  1.24126114E-02   5.31522423E-03   1.85770814E-03   7.05017676E-05   1.70261152E-04   3.77491635E-05 
  1.45898795E-02   6.03725788E-03   1.97244869E-03   1.02024732E-04   1.78627921E-04   5.17563897E-05 
  2.24901149E-02   8.83038893E-03   3.07508583E-03   1.11398884E-04   8.54275963E-04   5.74521581E-04 
  2.90882350E-02   1.93163692E-02   1.39034256E-02   1.08734958E-04   9.73470325E-03   8.48964280E-03 
  2.39860424E-02   1.61446483E-02   4.44116226E-03   5.69853531E-05   4.44157828E-04   1.17952878E-04 
  4.52323298E-02   3.28352019E-02   1.97245579E-02   7.14825288E-05   1.12223268E-02   8.76331623E-03 
  2.30671226E-02   1.15679315E-02   5.41047385E-03   7.53341807E-05   1.54436402E-03   6.90879620E-04 
  6.12054890E-02   7.96228110E-02   3.38244693E-02   1.10862237E-04   1.07428620E-03   3.26466503E-04 
  2.08173267E-02   1.43065095E-02   7.94534787E-03   5.91949224E-05   1.80143758E-03   1.15443954E-03 
  1.96600420E-02   8.77208332E-03   3.44575425E-03   9.25429102E-05   3.74979165E-04   9.98167427E-05 
  2.35935372E-02   9.35763198E-03   2.94476991E-03   1.28192204E-04   2.43402116E-04   6.36077060E-05 
  2.33956613E-02   8.86218249E-03   1.82885587E-03   6.89568084E-05   1.53040849E-04   5.98609521E-05 
  2.12829269E-02   7.58035243E-03   2.67336417E-03   7.63628319E-05   9.36077947E-04   7.15683132E-04 
  2.54900260E-02   1.37871888E-02   8.45112818E-03   7.95666878E-05   4.79524321E-03   3.54412850E-03 
  1.51818243E-02   6.74436294E-03   2.30730167E-03   1.09810858E-04   1.95964084E-04   4.80300081E-05 
  2.49193522E-02   1.10464749E-02   4.22285865E-03   1.35919256E-04   8.50998242E-04   4.37517861E-04 
  2.72830837E-02   1.57872499E-02   5.79508407E-03   9.14367127E-05   8.00250192E-04   1.99620886E-04 
  1.35498960E-02   6.07804077E-03   2.40718302E-03   6.57751659E-05   4.08905221E-04   2.05444777E-04 
  2.91333143E-02   1.69573651E-02   8.25538114E-03   7.27803341E-05   1.70828933E-03   9.93945131E-04 
  1.99841657E-02   1.13319993E-02   2.33309945E-03   7.42035016E-05   2.78286065E-04   1.37685369E-04 
  1.99278835E-02   8.49727803E-03   2.27684115E-03   9.89230335E-05   2.61796491E-04   1.31450214E-04 
  3.45313314E-02   2.31026980E-02   1.31498243E-02   7.56512618E-05   1.52531236E-03   2.80311787E-04 
  1.30373731E-02   6.04783786E-03   2.14821984E-03   8.27474661E-05   1.81946485E-04   4.36737540E-05 
  1.22494831E-02   4.88038194E-03   1.59881234E-03   5.33636545E-05   1.57294866E-04   5.00128010E-05 
  3.72850215E-02   1.81279447E-02   4.12861445E-03   1.36782766E-04   3.47420322E-04   9.18711024E-05 
  3.01204121E-02   1.69938238E-02   4.14929714E-03   7.57301798E-05   4.38026151E-04   1.15987336E-04 
  1.91334634E-02   9.50947071E-03   4.83736042E-03   7.71933894E-05   3.61123455E-03   3.02725758E-03 
  2.21434638E-02   9.98777902E-03   3.32653693E-03   1.50828638E-04   2.74426586E-04   7.43788048E-05 
  3.78850467E-02   2.68971564E-02   1.74954086E-02   1.32432295E-04   4.21421368E-03   1.71114007E-03 
  2.34918589E-02   8.73899074E-03   2.04004935E-03   8.86086678E-05   1.53485113E-04   4.34830358E-05 
  1.43682754E-02   7.89131360E-03   3.29698995E-03   6.44899832E-05   6.24768156E-04   2.09262312E-04 
  1.69812488E-02   7.09110384E-03   2.51400529E-03   1.06619074E-04   3.69138053E-04   1.50262489E-04 
  1.61159323E-02   6.83232903E-03   2.66496746E-03   8.63074183E-05   3.84622322E-04   1.45186980E-04 
  1.49572907E-02   9.89490543E-03   5.85314093E-03   5.57788161E-05   1.21253315E-03   5.11917290E-04 
  1.70322861E-02   7.48415866E-03   2.54672409E-03   9.94202393E-05   2.06946766E-04   5.15556264E-05 
  2.35281024E-02   9.80296724E-03   3.65136071E-03   9.94924684E-05   6.81204783E-04   3.28821090E-04 
  1.72635884E-02   6.68402287E-03   1.92272932E-03   7.46538065E-05   1.52740695E-04   3.93385439E-05 
  1.83415004E-02   9.37145923E-03   4.16813725E-03   1.07845344E-04   1.29091523E-03   8.72494103E-04 
  1.80190726E-02   7.58923863E-03   2.81861276E-03   1.01705396E-04   3.87450782E-04   1.42811865E-04 
  1.44181597E-02   8.18343848E-03   5.28073495E-03   7.48333378E-05   3.97157197E-03   3.33683074E-03 
  1.72675174E-02   6.87827508E-03   2.20848514E-03   1.06442073E-04   1.85467601E-04   4.49085625E-05 
  2.73109416E-02   1.31105724E-02   5.56760639E-03   1.45218853E-04   1.34754169E-03   8.07042937E-04 
  5.09721184E-02   4.26575019E-02   1.82953082E-02   9.41708884E-05   8.50911793E-03   6.51913945E-03 
  2.77713132E-02   1.35593952E-02   3.47915925E-03   1.24976090E-04   3.22510367E-04   9.17293280E-05 
  1.73846118E-02   8.14326348E-03   3.67593664E-03   1.06018914E-04   1.36599091E-03   1.00280477E-03 
  1.49566218E-02   6.68589347E-03   2.24321485E-03   1.04548072E-04   2.10177098E-04   5.40896340E-05 
  3.57503937E-02   1.98938455E-02   1.10274870E-02   7.68975290E-05   4.47346116E-03   3.01398749E-03 
  1.71677555E-02   1.16920565E-02   8.70982104E-03   8.99987133E-05   6.76270316E-03   5.01127651E-03 
  3.69629914E-02   2.49408736E-02   1.61232457E-02   9.30015747E-05   4.48425591E-03   1.89417801E-03 
  2.83739971E-02   1.63408436E-02   5.51479411E-03   8.37137167E-05   9.98110319E-04   5.62447057E-04 
  2.23512175E-02   9.73875445E-03   2.11886304E-03   7.77693441E-05   3.19431066E-04   1.99862022E-04 
  2.25671305E-02   7.88089825E-03   2.24083496E-03   1.10174154E-04   2.00898643E-04   6.29680101E-05 
  3.27078929E-02   1.34609107E-02   3.35949729E-03   9.86559159E-05   4.48006964E-04   1.98634766E-04 
  3.15816393E-02   1.74846680E-02   8.49266393E-03   1.49591234E-04   1.04237804E-03   2.59881317E-04 
  1.76715519E-02   8.42592259E-03   3.54004431E-03   1.05993056E-04   8.70784259E-04   5.02303147E-04 
  4.93052348E-02   3.02428674E-02   1.62590376E-02   1.29733234E-04   2.28532875E-03   4.87507715E-04 
  2.92177979E-02   1.49304734E-02   3.85296118E-03   1.04375887E-04   4.40319581E-04   2.23203266E-04 
  1.61074959E-02   7.35234457E-03   2.57239975E-03   1.05692451E-04   3.09617728E-04   1.34984978E-04 
  6.06321440E-02   4.19145502E-02   2.51234868E-02   1.15714380E-04   2.99120206E-03   4.22002761E-04 
  2.62429097E-02   1.46339564E-02   6.38376070E-03   1.71028355E-04   9.17369426E-04   3.66180075E-04 
  2.22449655E-02   1.11416364E-02   6.65662989E-03   7.85147796E-05   4.38650991E-03   3.33863699E-03 
  1.90116498E-02   8.15586217E-03   3.26635331E-03   8.80791193E-05   4.59377716E-04   1.60382606E-04 
  1.48682603E-02   7.95233948E-03   4.51667454E-03   6.59968455E-05   2.55485919E-03   1.95780000E-03 
  3.87206600E-02   2.61869553E-02   8.94201394E-03   1.51190684E-04   1.52406670E-03   6.12071974E-04 
  2.27852380E-02   1.61679812E-02   6.94100228E-03   1.08701083E-04   1.94797543E-03   1.14140564E-03 
  2.46470631E-02   9.14069459E-03   3.20603889E-03   1.00801873E-04   5.68072366E-04   2.84529490E-04 
  2.86798856E-02   1.75024567E-02   9.55029243E-03   1.37564707E-04   1.90785009E-03   5.65181335E-04 
  3.60883211E-02   1.31432088E-02   2.78305932E-03   1.12239729E-04   1.98709996E-04   5.45935847E-05 
