R_toa(412)  R_toa(443)  R_toa(486)  R_toa(551)  R_toa(671)  R_toa(745)  R_toa(862)  R_toa(1238)  R_toa(1610)  R_toa(2257)  
  4.80959431E-02   4.20459030E-02   3.59220125E-02   2.88798152E-02   2.22292269E-02   1.99983606E-02   1.83704641E-02   1.52941569E-02   1.40209970E-02   1.16625674E-02 
  5.06218973E-02   4.13506423E-02   3.23499382E-02   2.39257430E-02   1.26605962E-02   9.38199177E-03   7.22177296E-03   4.37623660E-03   3.39624559E-03   2.44236337E-03 
  6.27786972E-02   5.36619030E-02   4.47784661E-02   3.60265817E-02   2.20599114E-02   1.61983930E-02   1.31646559E-02   8.54080267E-03   6.28039920E-03   3.39409753E-03 
  5.38033449E-02   4.18445451E-02   3.08705744E-02   2.11126165E-02   9.49097850E-03   5.67930046E-03   3.27060640E-03   7.02466183E-04   2.42549112E-04   5.73486033E-05 
  5.87183787E-02   4.71193251E-02   3.50030964E-02   2.23554687E-02   1.12709587E-02   7.39876986E-03   4.53383195E-03   1.34828296E-03   7.28231313E-04   4.03753598E-04 
  3.88982935E-02   3.49766099E-02   3.05137825E-02   2.44331082E-02   1.74141533E-02   1.40555874E-02   1.05801645E-02   3.54776102E-03   1.06364592E-03   1.43955580E-04 
  2.70969762E-02   2.06107131E-02   1.45998424E-02   9.09418481E-03   4.39892386E-03   2.72369367E-03   1.56345342E-03   3.42641157E-04   1.24334854E-04   3.46315148E-05 
  5.27802164E-02   4.21544170E-02   3.25786576E-02   2.44463180E-02   1.12731730E-02   7.31544845E-03   5.15815162E-03   2.60332969E-03   1.88205733E-03   1.18794815E-03 
  5.14753783E-02   4.45207965E-02   4.13771985E-02   4.45726242E-02   2.82549428E-02   9.94591863E-03   6.13850907E-03   1.26932489E-03   4.96890721E-04   1.37440082E-04 
  4.29812068E-02   3.62278268E-02   3.36188553E-02   3.59332206E-02   2.11049637E-02   7.22329743E-03   4.11757832E-03   5.57685773E-04   2.20087159E-04   8.66793267E-05 
  5.18831486E-02   4.26939208E-02   3.40282994E-02   2.62200595E-02   1.31814917E-02   9.26559492E-03   6.75124840E-03   3.14694493E-03   1.82292359E-03   7.77645818E-04 
  4.62604527E-02   3.64830872E-02   2.77652000E-02   2.04116297E-02   8.45678214E-03   4.81300285E-03   2.83224168E-03   6.40596899E-04   2.34164798E-04   6.69811237E-05 
  7.50880013E-02   5.95522889E-02   4.37554665E-02   2.74034836E-02   1.46555101E-02   1.00717089E-02   6.48409013E-03   2.34274606E-03   1.37076609E-03   7.59822748E-04 
  6.03541951E-02   5.09275456E-02   4.37036519E-02   3.98862898E-02   1.88471920E-02   7.89381153E-03   4.76109700E-03   1.08367223E-03   4.45559168E-04   1.54755622E-04 
  4.18889722E-02   3.28463367E-02   2.47278562E-02   1.75994346E-02   8.69282274E-03   6.08188759E-03   4.44419866E-03   2.66602079E-03   2.22818334E-03   1.70896467E-03 
  4.78923415E-02   3.73773342E-02   2.70169684E-02   1.66877813E-02   8.10546129E-03   5.44737015E-03   3.40298575E-03   1.17222024E-03   7.14040185E-04   4.30993626E-04 
  4.72321488E-02   4.02516045E-02   3.39646246E-02   2.73090837E-02   1.63009943E-02   1.08666281E-02   7.69616845E-03   3.05049345E-03   1.82751070E-03   1.14727065E-03 
  6.59066319E-02   5.62638400E-02   4.65983566E-02   3.57097051E-02   2.45737960E-02   2.00474864E-02   1.54905139E-02   7.26199861E-03   3.79918418E-03   1.65083343E-03 
  3.33785558E-02   2.74089543E-02   2.03138910E-02   1.39820869E-02   5.28365679E-03   3.03771719E-03   1.73785637E-03   3.86139835E-04   1.48815197E-04   4.97091001E-05 
  4.35554987E-02   3.54643257E-02   2.60048934E-02   1.59009229E-02   7.95687643E-03   5.42819741E-03   3.27848235E-03   8.49918965E-04   3.71774070E-04   1.67915575E-04 
  4.70291140E-02   4.01478918E-02   3.19510975E-02   2.18452178E-02   1.29343488E-02   9.58212751E-03   6.39074171E-03   2.06546689E-03   1.04690040E-03   6.09184712E-04 
  2.91753361E-02   2.30036092E-02   1.69917830E-02   1.13744838E-02   4.81242480E-03   2.93273995E-03   1.69300615E-03   3.76017263E-04   1.32800416E-04   3.31429412E-05 
  4.59665088E-02   3.74367476E-02   3.01266220E-02   2.48334675E-02   1.03177548E-02   5.86620335E-03   3.85341940E-03   1.45306433E-03   8.71969334E-04   4.81566597E-04 
  4.10978076E-02   3.12849617E-02   2.24248368E-02   1.42963699E-02   6.62502766E-03   4.32621453E-03   2.59462481E-03   6.66060409E-04   2.39357311E-04   5.53156175E-05 
  7.40321124E-02   6.85635270E-02   6.12664228E-02   4.88638924E-02   3.98870272E-02   3.46171975E-02   2.72647000E-02   1.02312830E-02   3.69091499E-03   8.95487189E-04 
