t(412)  t(443)  t(486)  t(551)  t(671)  t(745)  t(862)  t(1238)  t(1610)  t(2257)  
  7.61500546E-01   8.03968573E-01   8.43707041E-01   8.82111359E-01   9.21680475E-01   9.34686327E-01   9.47580640E-01   9.64624599E-01   9.71007961E-01   9.75450476E-01 
  7.23233596E-01   7.69053612E-01   8.09514161E-01   8.48497954E-01   8.90318514E-01   8.90051816E-01   9.05292366E-01   9.35444571E-01   9.53882932E-01   9.68772021E-01 
  7.76982594E-01   8.31193631E-01   8.79928947E-01   9.23814143E-01   9.61680609E-01   9.72385564E-01   9.84360112E-01   9.96239319E-01   9.98628228E-01   9.99635834E-01 
  6.83688049E-01   7.37473604E-01   7.95597022E-01   8.59356709E-01   9.29294735E-01   9.52868441E-01   9.71659864E-01   9.91310473E-01   9.95068427E-01   9.96792576E-01 
  7.07073903E-01   7.51122584E-01   7.94228111E-01   8.38738415E-01   8.95893218E-01   9.14685723E-01   9.35827048E-01   9.70899406E-01   9.86133632E-01   9.94049375E-01 
  8.57568885E-01   8.94897889E-01   9.27567827E-01   9.55905283E-01   9.79034636E-01   9.85775572E-01   9.91841586E-01   9.98048229E-01   9.99254256E-01   9.99771556E-01 
  7.72820899E-01   8.19603950E-01   8.62662947E-01   9.03069530E-01   9.42512184E-01   9.55970251E-01   9.67596862E-01   9.81024116E-01   9.84725237E-01   9.87390239E-01 
  8.23000741E-01   8.60471801E-01   8.94146567E-01   9.25720610E-01   9.58532967E-01   9.68673246E-01   9.78062307E-01   9.90917683E-01   9.95605272E-01   9.97719601E-01 
  8.44562173E-01   8.80412803E-01   9.12982877E-01   9.43464295E-01   9.72986585E-01   9.82253786E-01   9.89707323E-01   9.97461038E-01   9.98968175E-01   9.99619497E-01 
  7.76349890E-01   8.18934284E-01   8.57841959E-01   8.95256176E-01   9.34109804E-01   9.46662086E-01   9.59388345E-01   9.78149042E-01   9.86598638E-01   9.93614528E-01 
  7.47973644E-01   7.98041688E-01   8.48400826E-01   8.98530438E-01   9.48770018E-01   9.65157315E-01   9.79039024E-01   9.94267288E-01   9.97503177E-01   9.98838554E-01 
  6.54661708E-01   7.15842753E-01   7.78248341E-01   8.42443550E-01   9.07780355E-01   9.30257907E-01   9.50190802E-01   9.72355963E-01   9.77401246E-01   9.80505917E-01 
  7.33797250E-01   7.87401782E-01   8.38927954E-01   8.89444960E-01   9.39879499E-01   9.57133680E-01   9.72523274E-01   9.90443269E-01   9.94792360E-01   9.96791871E-01 
  8.33772066E-01   8.75514823E-01   9.11615730E-01   9.43572098E-01   9.68441501E-01   9.76539665E-01   9.84029750E-01   9.92037289E-01   9.94110799E-01   9.96031469E-01 
  7.37429137E-01   7.86636920E-01   8.36501794E-01   8.87578654E-01   9.40903980E-01   9.57641414E-01   9.71903657E-01   9.86558258E-01   9.89446003E-01   9.91111410E-01 
  7.19379917E-01   7.67845947E-01   8.16614828E-01   8.66472395E-01   9.17948992E-01   9.37453336E-01   9.55395614E-01   9.78578905E-01   9.85677619E-01   9.89476739E-01 
  6.40769090E-01   6.95938982E-01   7.52495832E-01   8.12227954E-01   8.63663576E-01   8.86031961E-01   9.12839477E-01   9.55369727E-01   9.73310855E-01   9.83878616E-01 
  8.58721640E-01   8.94025346E-01   9.24597892E-01   9.52086124E-01   9.77425138E-01   9.85110565E-01   9.91475310E-01   9.97979944E-01   9.99234840E-01   9.99765281E-01 
  7.72011019E-01   8.07978959E-01   8.54252026E-01   9.00380788E-01   9.49705267E-01   9.65484017E-01   9.79312514E-01   9.94418830E-01   9.97518742E-01   9.98862879E-01 
  7.59952190E-01   7.96929169E-01   8.40970490E-01   8.87019868E-01   9.38608017E-01   9.56052472E-01   9.71481588E-01   9.90317263E-01   9.95122369E-01   9.97357409E-01 
  8.69351755E-01   9.05330494E-01   9.34229758E-01   9.58884184E-01   9.80489911E-01   9.87045416E-01   9.92561426E-01   9.98197381E-01   9.99314697E-01   9.99791510E-01 
  8.23325059E-01   8.63841221E-01   8.99431598E-01   9.32051558E-01   9.62685225E-01   9.71356321E-01   9.80594157E-01   9.91595337E-01   9.94671147E-01   9.96286910E-01 
