rho_a(412)  rho_a(443)  rho_a(486)  rho_a(551)  rho_a(671)  rho_a(745)  rho_a(862)  rho_a(1238)  rho_a(1610)  rho_a(2257)  
  2.40283035E-02   2.72446165E-02   2.97683194E-02   3.13969144E-02   3.14051385E-02   3.07051250E-02   2.94515820E-02   2.73691741E-02   2.70732931E-02   2.59079402E-02 
  8.36274005E-03   8.23164146E-03   7.87708123E-03   7.24176968E-03   6.20979059E-03   5.72751105E-03   5.13425204E-03   4.11074907E-03   3.54780825E-03   2.87931702E-03 
  2.67012280E-02   2.71758729E-02   2.67668724E-02   2.49691902E-02   2.16977604E-02   2.00416616E-02   1.81213518E-02   1.46276581E-02   1.18184851E-02   7.25194155E-03 
  2.63222996E-04   2.58855096E-04   2.33649148E-04   1.95863864E-04   1.41861418E-04   1.18401549E-04   9.11381884E-05   4.14826296E-05   1.59131994E-05   2.47333161E-06 
  6.94864061E-04   8.87976350E-04   1.05256378E-03   1.17483702E-03   1.19258899E-03   1.15806097E-03   1.09144182E-03   9.79432825E-04   9.26209248E-04   8.29311408E-04 
  3.47808368E-02   3.88522451E-02   4.17205217E-02   4.21156694E-02   3.68631084E-02   3.20197681E-02   2.46597949E-02   9.13933630E-03   2.89177073E-03   4.09261529E-04 
  9.17972841E-05   9.39467763E-05   8.86385832E-05   7.86431702E-05   6.30423142E-05   5.60555297E-05   4.82922069E-05   3.59785352E-05   2.89539443E-05   2.05730663E-05 
  3.32131618E-03   3.29865527E-03   3.19235613E-03   3.01233102E-03   2.81198072E-03   2.71119674E-03   2.59622359E-03   2.27979274E-03   1.98106966E-03   1.47061364E-03 
  3.86814555E-03   3.68730318E-03   3.40867952E-03   2.98833130E-03   2.34317110E-03   2.01430302E-03   1.60462743E-03   7.68372123E-04   3.54979516E-04   1.12468487E-04 
  8.76388929E-05   9.02673477E-05   8.58579929E-05   8.05370409E-05   7.36788760E-05   7.13049075E-05   6.82743853E-05   6.52326709E-05   6.22560368E-05   5.41131948E-05 
  8.93577465E-03   8.63040281E-03   8.18848046E-03   7.37738185E-03   6.09700954E-03   5.44071039E-03   4.55413961E-03   2.80830407E-03   1.81446459E-03   8.71667096E-04 
