rho_a(412)  rho_a(443)  rho_a(486)  rho_a(551)  rho_a(671)  rho_a(745)  rho_a(862)  rho_a(1238)  rho_a(1610)  rho_a(2257)  
  4.62724311E-04   4.78340303E-04   4.63553220E-04   4.25179996E-04   3.47929498E-04   3.08931598E-04   2.61289977E-04   1.82782054E-04   1.50488390E-04   1.22114498E-04 
  3.53111437E-04   3.74625198E-04   3.70751109E-04   3.48792425E-04   2.95369059E-04   2.67695892E-04   2.34117675E-04   1.86260932E-04   1.71698772E-04   1.55322396E-04 
  2.26532199E-02   2.23841955E-02   2.14246555E-02   1.93594953E-02   1.60783410E-02   1.44629008E-02   1.25057085E-02   8.81470153E-03   6.36589679E-03   3.38113857E-03 
  5.28989556E-04   5.00306845E-04   4.55037511E-04   3.93078201E-04   3.01905999E-04   2.56663709E-04   2.00788276E-04   8.84035372E-05   3.19441007E-05   4.64021576E-06 
  5.48374649E-03   5.36755462E-03   5.09420448E-03   4.58244311E-03   3.72185515E-03   3.27948111E-03   2.74591867E-03   1.75466482E-03   1.25929431E-03   8.68380955E-04 
  1.01996929E-02   1.01370622E-02   9.63353320E-03   8.51445348E-03   6.47068722E-03   5.37566482E-03   4.01135672E-03   1.55801297E-03   5.50775848E-04   9.47422850E-05 
  9.78374432E-03   9.90973815E-03   9.39774007E-03   8.41970156E-03   6.72402891E-03   5.86920301E-03   4.82493281E-03   2.80055343E-03   1.74857007E-03   1.02460785E-03 
  2.13993305E-02   2.08800623E-02   1.97424293E-02   1.76712496E-02   1.44189177E-02   1.26198537E-02   1.03132488E-02   5.58305894E-03   3.09966542E-03   1.34431797E-03 
  9.38545550E-03   9.01827462E-03   8.28626201E-03   7.07018500E-03   5.38850303E-03   4.64905821E-03   3.78272302E-03   2.16083105E-03   1.21720973E-03   4.11780377E-04 
  4.31483503E-02   4.68738302E-02   4.86265587E-02   4.73340268E-02   4.00021668E-02   3.47915672E-02   2.76617716E-02   1.51120893E-02   1.06621054E-02   8.19828134E-03 
  7.73715059E-04   8.88744721E-04   9.27210333E-04   8.42467464E-04   5.96996938E-04   4.73651804E-04   3.43822299E-04   1.85960553E-04   1.22001736E-04   5.36734868E-05 
  3.78530848E-02   3.96329026E-02   3.99565192E-02   3.77884890E-02   3.09583626E-02   2.63946539E-02   2.01871599E-02   8.58462585E-03   4.03691333E-03   1.76581521E-03 
  1.95207233E-02   1.98858346E-02   2.00561864E-02   1.98460086E-02   1.89488031E-02   1.82221066E-02   1.71611886E-02   1.39622251E-02   1.12551450E-02   7.85384327E-03 
  6.83100323E-04   7.34065425E-04   7.36681557E-04   6.93430821E-04   5.80258111E-04   5.17204450E-04   4.28566519E-04   2.51997996E-04   1.61500139E-04   9.33272786E-05 
  1.34769172E-04   1.52862303E-04   1.67877578E-04   1.85726397E-04   2.09736350E-04   2.15528948E-04   2.23041874E-04   2.25095065E-04   2.10807792E-04   1.70078747E-04 
  3.01447959E-04   2.96134568E-04   2.77380657E-04   2.44118690E-04   1.86325707E-04   1.56676830E-04   1.20952201E-04   5.80636641E-05   2.90358301E-05   9.19753512E-06 
  8.92805872E-03   8.73882203E-03   8.28483045E-03   7.41198041E-03   6.00230594E-03   5.27843852E-03   4.33031604E-03   2.42964528E-03   1.41714071E-03   5.90379157E-04 
  5.96079315E-04   5.81865998E-04   5.48278046E-04   4.87452326E-04   3.82423544E-04   3.27425578E-04   2.58294819E-04   1.29528863E-04   6.64543153E-05   2.01041251E-05 
  2.58982230E-03   2.75665962E-03   2.71965138E-03   2.41121429E-03   1.71340067E-03   1.34185478E-03   9.06676837E-04   2.70183818E-04   8.88457812E-05   2.54892977E-05 
  2.02343948E-04   1.98646949E-04   1.83415324E-04   1.61456482E-04   1.31711884E-04   1.18625825E-04   1.03601714E-04   7.26372613E-05   5.37949035E-05   3.63246136E-05 
  1.36031726E-03   1.30964838E-03   1.21494247E-03   1.06230421E-03   8.35999198E-04   7.27548522E-04   5.93470738E-04   3.24763869E-04   1.76399471E-04   6.20746402E-05 
  3.28709353E-02   3.33148239E-02   3.26138772E-02   3.01021125E-02   2.44895626E-02   2.11313105E-02   1.67584036E-02   8.46710195E-03   4.89506398E-03   2.87398753E-03 
  1.79731200E-03   1.80777091E-03   1.78265123E-03   1.67297402E-03   1.41410408E-03   1.26550241E-03   1.06425133E-03   7.03489312E-04   5.46789636E-04   4.21237899E-04 
  1.85187227E-02   2.02334804E-02   2.09273874E-02   2.00309972E-02   1.60090160E-02   1.33082667E-02   9.65549336E-03   3.40163222E-03   1.29854446E-03   4.03950166E-04 
  2.69238414E-04   2.65971076E-04   2.48392524E-04   2.18184712E-04   1.71850526E-04   1.49715737E-04   1.24096642E-04   7.88630679E-05   5.76284811E-05   4.20309313E-05 
  4.31213118E-04   4.15395130E-04   3.84190541E-04   3.35649236E-04   2.61068235E-04   2.24941404E-04   1.81736975E-04   1.03071639E-04   6.59969559E-05   4.20138714E-05 
  1.50991863E-03   1.88647212E-03   2.17706742E-03   2.30977829E-03   2.13187303E-03   1.92977469E-03   1.60887691E-03   9.03754451E-04   5.85954190E-04   3.65099955E-04 
  3.72253147E-03   3.63738132E-03   3.40490321E-03   2.98102477E-03   2.29018323E-03   1.94499919E-03   1.52787757E-03   7.80961526E-04   4.55276457E-04   2.71933793E-04 
  4.18469002E-04   4.18825723E-04   3.95995800E-04   3.53331274E-04   2.83572653E-04   2.48926720E-04   2.03547147E-04   1.18113233E-04   7.22519232E-05   3.28735279E-05 
  8.10677675E-03   7.98985493E-03   7.55608160E-03   6.79553101E-03   5.47896047E-03   4.80425221E-03   3.96726287E-03   2.37355060E-03   1.61091033E-03   1.06096267E-03 
  1.80195631E-04   1.81234757E-04   1.74133468E-04   1.61673856E-04   1.43530255E-04   1.36265572E-04   1.29761171E-04   1.21598409E-04   1.17563229E-04   1.05828024E-04 
  1.20988364E-02   1.19456112E-02   1.13755900E-02   1.02554897E-02   8.18122420E-03   7.09157771E-03   5.71289443E-03   3.25564079E-03   2.17883038E-03   1.46308431E-03 
  2.47796107E-03   2.60556381E-03   2.74775382E-03   2.90419531E-03   3.13833979E-03   3.23680646E-03   3.35378789E-03   3.39202820E-03   3.18514934E-03   2.57206970E-03 
  2.61916656E-03   2.65442237E-03   2.56896845E-03   2.31916815E-03   1.83773539E-03   1.58035231E-03   1.26420938E-03   6.92225614E-04   4.36925540E-04   2.81177537E-04 
  1.50905861E-03   2.01306282E-03   2.45509394E-03   2.73530046E-03   2.71207290E-03   2.58147899E-03   2.37144175E-03   2.00067774E-03   1.86419322E-03   1.70656147E-03 
  4.47117919E-04   4.36497711E-04   4.08828653E-04   3.62634090E-04   2.91237691E-04   2.56799880E-04   2.16547918E-04   1.43561924E-04   1.06678589E-04   7.59488333E-05 
  4.08332451E-03   4.31775874E-03   4.29178655E-03   3.88127741E-03   2.89545193E-03   2.35163102E-03   1.70508890E-03   7.38307982E-04   4.43757706E-04   3.13151841E-04 
  1.54862734E-04   1.51483484E-04   1.38176551E-04   1.19747807E-04   9.40136351E-05   8.26415184E-05   6.93262560E-05   4.32577266E-05   2.70819663E-05   1.23294432E-05 
  2.07900866E-02   2.08900719E-02   2.03271069E-02   1.87079298E-02   1.53690124E-02   1.34139923E-02   1.08047091E-02   5.63834183E-03   3.29544559E-03   1.64279265E-03 
  1.44851853E-04   1.41905361E-04   1.28761901E-04   1.08633236E-04   7.89742496E-05   6.57078794E-05   5.10252933E-05   2.81168884E-05   1.88545115E-05   1.29948675E-05 
  2.22405989E-03   2.33794123E-03   2.42354658E-03   2.50582318E-03   2.60783088E-03   2.68350038E-03   2.78431034E-03   3.02606774E-03   3.06455952E-03   2.75581754E-03 
  6.10316320E-04   6.58765706E-04   6.93704046E-04   7.08242359E-04   6.66372931E-04   6.35911528E-04   5.76682896E-04   4.32402970E-04   3.37652027E-04   2.23124351E-04 
  2.68823600E-02   2.76535480E-02   2.75795900E-02   2.63771713E-02   2.34760886E-02   2.18123145E-02   1.97307924E-02   1.64099384E-02   1.49996572E-02   1.29781776E-02 
  2.96956669E-02   2.95576803E-02   2.85242725E-02   2.62999465E-02   2.20878421E-02   1.97656422E-02   1.69455446E-02   1.19866390E-02   9.70032489E-03   7.64173417E-03 
  9.54931970E-05   9.89466898E-05   9.05838981E-05   7.95887386E-05   6.38169567E-05   5.69068741E-05   4.89181329E-05   3.60621653E-05   2.95477148E-05   2.31894696E-05 
  1.06727097E-03   1.09869043E-03   1.11467511E-03   1.12393861E-03   1.13464515E-03   1.13143259E-03   1.11328774E-03   9.83142181E-04   8.24259667E-04   5.69342744E-04 
  4.02653811E-02   4.03504007E-02   3.90000201E-02   3.55750556E-02   2.87064817E-02   2.47640405E-02   1.96450758E-02   1.00287563E-02   5.69946614E-03   2.97741781E-03 
  2.12234136E-04   2.44153842E-04   2.55883802E-04   2.62506901E-04   2.56855040E-04   2.53717535E-04   2.47051986E-04   2.35988439E-04   2.25019107E-04   1.93227802E-04 
  3.03263385E-04   3.48076014E-04   3.60181060E-04   3.47680283E-04   2.85106078E-04   2.42610075E-04   1.85345030E-04   8.25999242E-05   4.21578013E-05   2.03903712E-05 
  7.75874212E-04   8.72463394E-04   8.92987972E-04   8.21668504E-04   6.45443793E-04   5.57555524E-04   4.61912486E-04   2.91102810E-04   1.96395868E-04   1.17205071E-04 
  3.16503842E-02   3.31090609E-02   3.34790546E-02   3.20670040E-02   2.76659509E-02   2.49050899E-02   2.16518214E-02   1.66831182E-02   1.52145155E-02   1.38374131E-02 
  1.84555620E-03   1.82637222E-03   1.74444756E-03   1.58894733E-03   1.34314022E-03   1.22467589E-03   1.10413368E-03   9.64505139E-04   9.24361166E-04   8.53932474E-04 
  2.18257091E-03   2.08860600E-03   1.91796520E-03   1.63582244E-03   1.19708295E-03   9.85998034E-04   7.38773394E-04   3.07798017E-04   1.23155823E-04   3.17711419E-05 
  8.84050276E-04   8.45894088E-04   7.69297948E-04   6.58253125E-04   4.98934367E-04   4.25256641E-04   3.37541148E-04   1.65089386E-04   7.52976974E-05   2.08289240E-05 
  2.42794937E-02   2.36176586E-02   2.21603462E-02   1.95383111E-02   1.51960924E-02   1.29129237E-02   1.00623989E-02   4.35866834E-03   1.60974229E-03   2.70511788E-04 
  6.00608642E-03   6.18723698E-03   6.13512855E-03   5.80262670E-03   5.05175570E-03   4.64153691E-03   4.12557429E-03   3.27283553E-03   2.85482668E-03   2.38135822E-03 
  1.92903135E-02   1.89459435E-02   1.79492673E-02   1.58852574E-02   1.21050849E-02   1.00792366E-02   7.60485792E-03   3.36960579E-03   1.71942777E-03   9.09899280E-04 
  6.42202671E-04   6.30422068E-04   5.92455118E-04   5.23947543E-04   4.10284277E-04   3.51703805E-04   2.84175854E-04   1.59515278E-04   1.03190602E-04   6.06872436E-05 
  4.41218230E-04   4.27491247E-04   3.96154803E-04   3.49268218E-04   2.83607930E-04   2.52404219E-04   2.15995880E-04   1.39930654E-04   9.52688159E-05   5.74740927E-05 
  2.32917335E-02   2.28074415E-02   2.15721798E-02   1.92092273E-02   1.49065138E-02   1.25160083E-02   9.45402534E-03   3.75325871E-03   1.33263150E-03   2.58035188E-04 
  3.60433698E-02   3.99919781E-02   4.22379654E-02   4.15799647E-02   3.57649819E-02   3.14218511E-02   2.54970923E-02   1.44027810E-02   9.84312456E-03   6.97513361E-03 
  7.64953482E-03   8.01477912E-03   7.88145881E-03   7.16775548E-03   5.75237598E-03   5.07514879E-03   4.25582744E-03   2.63083434E-03   1.62746892E-03   7.46073248E-04 
  8.06312798E-03   7.73750239E-03   7.15757029E-03   6.22583240E-03   4.78852159E-03   4.07661998E-03   3.21665390E-03   1.63807998E-03   8.96667319E-04   4.23456395E-04 
  2.38204292E-03   2.63051398E-03   2.71391929E-03   2.55820582E-03   2.03618506E-03   1.71829264E-03   1.31980370E-03   6.28754670E-04   3.61160301E-04   2.20695716E-04 
  7.84113778E-03   8.28989055E-03   8.25818765E-03   7.45409047E-03   5.58460095E-03   4.59174540E-03   3.39320794E-03   1.60489840E-03   1.01530276E-03   7.08310470E-04 
  1.85027476E-02   1.98013418E-02   2.07269612E-02   2.10314384E-02   2.02050672E-02   1.93663321E-02   1.79221827E-02   1.37193596E-02   1.06195098E-02   7.26704427E-03 
  6.42972953E-03   6.11558984E-03   5.61013651E-03   4.80733545E-03   3.69137537E-03   3.19447251E-03   2.60353470E-03   1.51495350E-03   8.92107095E-04   3.39629050E-04 
  1.56428629E-02   1.52936171E-02   1.44831393E-02   1.30756784E-02   1.08777366E-02   9.74863411E-03   8.38278713E-03   5.55354029E-03   3.95414304E-03   2.57444374E-03 
  1.17837307E-02   1.15811186E-02   1.09555630E-02   9.71379119E-03   7.45801034E-03   6.26519217E-03   4.78366822E-03   2.16142554E-03   1.03734596E-03   3.75934676E-04 
  1.17641452E-04   1.14569409E-04   1.03316947E-04   8.85810531E-05   6.74108037E-05   5.73975256E-05   4.54224113E-05   2.29837001E-05   1.19073064E-05   4.70266127E-06 
  1.37556117E-03   1.34750576E-03   1.26238421E-03   1.12170816E-03   9.09564441E-04   8.16245323E-04   7.07521814E-04   5.04221179E-04   3.90971487E-04   2.87226551E-04 
  8.34487155E-04   9.98518449E-04   1.09985562E-03   1.10059944E-03   9.23820306E-04   7.90286000E-04   6.09872208E-04   2.99979214E-04   1.90720068E-04   1.33043314E-04 
  7.08451441E-04   6.67531299E-04   6.05329174E-04   5.23586125E-04   4.13423564E-04   3.62782742E-04   3.02688521E-04   1.80876317E-04   1.06672146E-04   4.07590175E-05 
  3.43148392E-05   4.11809348E-05   4.38265975E-05   4.60833453E-05   4.74632226E-05   4.78304115E-05   4.78646309E-05   4.64052468E-05   4.38130689E-05   3.41702247E-05 
  1.87586387E-04   1.88181381E-04   1.70909867E-04   1.45285181E-04   1.07468134E-04   9.00188041E-05   6.91261590E-05   3.11039315E-05   1.35018190E-05   4.14584581E-06 
  1.07783145E-04   1.11886567E-04   1.09163332E-04   1.04753881E-04   9.88052576E-05   9.72193805E-05   9.70127171E-05   1.04287269E-04   1.11589141E-04   1.14364191E-04 
  8.84884966E-04   8.65782587E-04   8.23738144E-04   7.58241492E-04   6.67418784E-04   6.22053010E-04   5.68790292E-04   4.59024871E-04   3.87852127E-04   2.96239066E-04 
  9.43399693E-03   9.58157123E-03   9.61967039E-03   9.61780613E-03   9.68599027E-03   9.69439264E-03   9.76211950E-03   9.42224042E-03   8.62780091E-03   6.77669108E-03 
  2.47875961E-02   2.58007666E-02   2.55880432E-02   2.33680054E-02   1.77446978E-02   1.44136194E-02   1.02779079E-02   3.63098695E-03   1.51107942E-03   6.29564321E-04 
  1.65826787E-02   1.93832584E-02   2.13741478E-02   2.16527855E-02   1.90139073E-02   1.68384065E-02   1.35406084E-02   6.50093856E-03   3.03909716E-03   7.00346944E-04 
  7.99296212E-04   8.21087746E-04   7.96580129E-04   7.29784017E-04   5.98166688E-04   5.27199281E-04   4.38873535E-04   2.74335012E-04   1.95470756E-04   1.31308985E-04 
  3.39664909E-03   3.31520317E-03   3.12265509E-03   2.77306620E-03   2.20366654E-03   1.91721007E-03   1.57627063E-03   9.65251235E-04   6.75226475E-04   4.50278783E-04 
  2.43039696E-03   2.36023337E-03   2.20921130E-03   1.97017352E-03   1.60648326E-03   1.42720107E-03   1.22297072E-03   8.64495891E-04   6.91275955E-04   5.33991494E-04 
  4.22595214E-02   4.24646495E-02   4.11222561E-02   3.75536773E-02   3.02366808E-02   2.59708541E-02   2.03819359E-02   9.68537049E-03   4.90266747E-03   2.15716281E-03 
  2.06532412E-02   2.26840340E-02   2.36049237E-02   2.31161040E-02   2.02819498E-02   1.84708101E-02   1.60470497E-02   1.14558207E-02   9.29211338E-03   7.16817703E-03 
  8.53598688E-03   8.94556891E-03   8.88338394E-03   8.18309027E-03   6.42406997E-03   5.39132445E-03   4.09467656E-03   1.84552544E-03   9.85990720E-04   5.39221192E-04 
  5.11600398E-03   5.23090615E-03   5.10176177E-03   4.70794071E-03   3.86442025E-03   3.40596705E-03   2.81759572E-03   1.67917065E-03   1.12246288E-03   7.15419229E-04 
  7.60086772E-05   7.66010342E-05   7.08026707E-05   6.44171305E-05   5.54490288E-05   5.09935763E-05   4.53952759E-05   3.28546205E-05   2.40638576E-05   1.37960245E-05 
  3.76040684E-03   3.71173074E-03   3.49355479E-03   3.06676929E-03   2.32949171E-03   1.94621913E-03   1.47861736E-03   6.27882841E-04   2.64379476E-04   7.96690846E-05 
  7.02022192E-02   8.16851590E-02   9.08961943E-02   9.54047943E-02   8.77128962E-02   7.85560490E-02   6.33529266E-02   3.19970010E-02   2.03937610E-02   1.48695232E-02 
  1.93614477E-02   1.89408593E-02   1.77446429E-02   1.56590015E-02   1.20921116E-02   1.01958616E-02   7.83647134E-03   3.41829248E-03   1.47501641E-03   4.44670349E-04 
  1.18777986E-03   1.16340869E-03   1.07004515E-03   8.98433296E-04   6.24528748E-04   5.02420871E-04   3.66293771E-04   1.69390543E-04   9.84740476E-05   6.13429330E-05 
  4.91600792E-02   5.18207467E-02   5.23433617E-02   4.98314145E-02   4.15882525E-02   3.59585002E-02   2.81692409E-02   1.22678224E-02   5.10796934E-03   1.29393324E-03 
  2.69872681E-02   2.72520225E-02   2.64811978E-02   2.42499371E-02   1.97112192E-02   1.71056972E-02   1.37374524E-02   7.31933715E-03   4.39207323E-03   2.62446226E-03 
  4.68756998E-04   4.72497975E-04   4.39921597E-04   3.77661305E-04   2.80321884E-04   2.36319077E-04   1.87390727E-04   1.05227373E-04   6.66715747E-05   4.12733549E-05 
  1.21212298E-03   1.20919370E-03   1.14038005E-03   9.92640451E-04   7.66274182E-04   6.67932427E-04   5.61297344E-04   3.88915448E-04   2.84376894E-04   1.55942501E-04 
  9.44407052E-04   9.98664545E-04   9.80312558E-04   8.84793793E-04   6.83244548E-04   5.77702467E-04   4.48834848E-04   2.15218968E-04   1.11062619E-04   4.14996631E-05 
  7.52995671E-04   7.48907831E-04   7.05212597E-04   6.23738721E-04   4.85364828E-04   4.15382069E-04   3.31205207E-04   1.89105468E-04   1.29467168E-04   9.07890291E-05 
  4.78597794E-04   5.56652267E-04   6.25959112E-04   6.85236908E-04   7.17207306E-04   7.19597872E-04   7.19424648E-04   7.14156692E-04   6.85822213E-04   5.93270620E-04 
  1.62204312E-02   1.69285008E-02   1.67381157E-02   1.53158203E-02   1.19631638E-02   1.00091840E-02   7.47228461E-03   2.91188747E-03   1.08751036E-03   2.21669340E-04 
  3.47652742E-02   3.61456937E-02   3.63049225E-02   3.44736376E-02   2.89538913E-02   2.52548749E-02   2.01886072E-02   1.00855336E-02   5.57727921E-03   2.96430191E-03 
  7.74228621E-03   7.47973809E-03   6.93756230E-03   6.05644414E-03   4.65157800E-03   3.93999051E-03   3.08195132E-03   1.52459178E-03   8.11562791E-04   3.62722159E-04 
  1.87989243E-03   1.89712767E-03   1.79003341E-03   1.54620819E-03   1.14570880E-03   9.65140574E-04   7.71834697E-04   4.45364539E-04   2.81259898E-04   1.48127518E-04 
  3.16039748E-03   3.14573109E-03   2.95455428E-03   2.56469320E-03   1.93899272E-03   1.64271212E-03   1.29812855E-03   6.86721566E-04   3.99981487E-04   2.25343526E-04 
  1.53415598E-03   1.69523289E-03   1.77105243E-03   1.73561316E-03   1.50197229E-03   1.34969456E-03   1.14835713E-03   8.12852308E-04   6.89362144E-04   5.78043251E-04 
  1.15677507E-03   1.19561606E-03   1.16628344E-03   1.05351500E-03   8.13448668E-04   6.84153134E-04   5.28859777E-04   2.79261652E-04   1.88841011E-04   1.37417815E-04 
  1.41334404E-03   1.37285213E-03   1.27213269E-03   1.11005288E-03   8.81130010E-04   7.75267398E-04   6.52236103E-04   4.04773680E-04   2.66725478E-04   1.57417140E-04 
  2.03419328E-02   2.18832725E-02   2.23183653E-02   2.11578751E-02   1.72906606E-02   1.49602878E-02   1.21314327E-02   8.07387080E-03   7.06408802E-03   6.49791125E-03 
  2.48053132E-04   2.59444662E-04   2.61940486E-04   2.58739143E-04   2.41274513E-04   2.28659072E-04   2.08889977E-04   1.55056745E-04   1.15606292E-04   6.60966074E-05 
  3.73553157E-04   3.77324941E-04   3.50792628E-04   3.03066252E-04   2.28862886E-04   1.95146841E-04   1.55469530E-04   8.36476749E-05   4.76965626E-05   2.40664079E-05 
  2.61262566E-04   2.65723262E-04   2.49250733E-04   2.16679644E-04   1.66677200E-04   1.46031189E-04   1.23215970E-04   8.45771088E-05   6.40177043E-05   4.56791673E-05 
  5.21559106E-03   5.22445151E-03   5.05943908E-03   4.60042914E-03   3.69943405E-03   3.20472451E-03   2.56781708E-03   1.43083121E-03   9.39990416E-04   5.79874173E-04 
  9.15387550E-04   9.16131286E-04   8.55297071E-04   7.33052549E-04   5.30503299E-04   4.32987989E-04   3.17463719E-04   1.23768708E-04   4.68287321E-05   9.78406735E-06 
  1.31756730E-02   1.46121752E-02   1.54684420E-02   1.52402607E-02   1.28677967E-02   1.10564628E-02   8.55166261E-03   3.87139435E-03   2.03049342E-03   1.06303432E-03 
  5.47340668E-04   5.57455756E-04   5.41755804E-04   5.03122411E-04   4.37230613E-04   4.07247765E-04   3.77266754E-04   3.51582967E-04   3.53062611E-04   3.40818168E-04 
  4.05659337E-04   4.42486314E-04   4.51475628E-04   4.31685123E-04   3.65436132E-04   3.22015864E-04   2.59387947E-04   1.33367360E-04   7.39146950E-05   3.30349402E-05 
  5.55927639E-04   5.55327602E-04   5.20478639E-04   4.49472133E-04   3.25938520E-04   2.64594384E-04   1.91632441E-04   7.41133301E-05   3.15825228E-05   1.23962772E-05 
  2.30852164E-04   2.25642133E-04   2.10717100E-04   1.87365639E-04   1.49964763E-04   1.30517234E-04   1.05083567E-04   5.67284347E-05   3.15805278E-05   1.16797433E-05 
  9.78325901E-03   9.64558170E-03   9.07239122E-03   7.95975795E-03   6.01083127E-03   5.00835078E-03   3.83126861E-03   1.93552797E-03   1.21456239E-03   8.05567818E-04 
  5.14189110E-04   5.01518667E-04   4.68603112E-04   4.15352964E-04   3.28452912E-04   2.85973330E-04   2.34121272E-04   1.40223008E-04   9.31429396E-05   5.62440002E-05 
  1.18463215E-03   1.26486910E-03   1.27647068E-03   1.17706844E-03   9.11095638E-04   7.58740539E-04   5.64310113E-04   2.50105387E-04   1.35064431E-04   6.77743047E-05 
  6.57085634E-04   6.38786184E-04   5.91122986E-04   5.14209546E-04   3.95201915E-04   3.38724081E-04   2.74557311E-04   1.70492649E-04   1.27261042E-04   9.80627805E-05 
  6.35804793E-04   6.29208136E-04   6.07344154E-04   5.70444359E-04   5.16424636E-04   4.92158100E-04   4.69192632E-04   4.31455513E-04   4.05990918E-04   3.52719773E-04 
  3.33191558E-03   3.31494335E-03   3.14813822E-03   2.77662346E-03   2.10577785E-03   1.76986098E-03   1.37933825E-03   7.73640528E-04   5.55969990E-04   4.31814692E-04 
  7.04401230E-03   6.90444292E-03   6.62453742E-03   6.15285320E-03   5.38149854E-03   4.98081593E-03   4.48660150E-03   3.31894362E-03   2.51512803E-03   1.56765059E-03 
  3.11491122E-03   3.14320094E-03   3.06257539E-03   2.80535825E-03   2.30557724E-03   2.02554539E-03   1.64739208E-03   8.85321962E-04   4.99088770E-04   2.02377091E-04 
  2.94155102E-02   2.90283028E-02   2.76425195E-02   2.50271491E-02   1.99603632E-02   1.70882795E-02   1.32672217E-02   5.98880325E-03   2.74197738E-03   9.79298065E-04 
  1.66695961E-04   1.66115415E-04   1.58541133E-04   1.47933898E-04   1.32987814E-04   1.25093134E-04   1.15478457E-04   9.02112744E-05   7.13441472E-05   4.84369629E-05 
  1.02391101E-02   1.09763976E-02   1.10876914E-02   1.04027620E-02   8.42431462E-03   7.24298846E-03   5.67709080E-03   2.58848867E-03   1.11713214E-03   2.93227280E-04 
  5.87578510E-03   5.64738495E-03   5.24230275E-03   4.58499567E-03   3.56910063E-03   3.07435277E-03   2.48207492E-03   1.39383635E-03   8.82093569E-04   5.56596162E-04 
  1.91219401E-03   1.81482121E-03   1.68014545E-03   1.48082439E-03   1.19455414E-03   1.05228218E-03   8.67336270E-04   4.89597420E-04   2.74291173E-04   9.66360981E-05 
  1.43578240E-03   1.39747529E-03   1.31222116E-03   1.15859311E-03   8.94599350E-04   7.59261097E-04   5.95680192E-04   2.97591180E-04   1.55852953E-04   5.68556876E-05 
  2.05926886E-03   2.03730345E-03   1.93242701E-03   1.73570766E-03   1.41454892E-03   1.25365782E-03   1.06223066E-03   7.12579213E-04   5.37293904E-04   3.95956046E-04 
  3.64984767E-02   3.90170842E-02   4.04396499E-02   3.96944240E-02   3.47955733E-02   3.09251003E-02   2.48731878E-02   1.18076785E-02   6.15357978E-03   2.76230485E-03 
  1.01513224E-03   1.10353308E-03   1.12370657E-03   1.05547129E-03   8.69113157E-04   7.60383980E-04   6.30838399E-04   4.16507370E-04   3.28369646E-04   2.58078358E-04 
  1.79102278E-04   1.75655688E-04   1.63685931E-04   1.46069457E-04   1.17093761E-04   1.02054887E-04   8.31847416E-05   4.67335189E-05   2.79439482E-05   1.38981912E-05 
  1.18024408E-02   1.17518791E-02   1.13267618E-02   1.03884623E-02   8.57172992E-03   7.59600748E-03   6.36511017E-03   4.10171554E-03   3.02627053E-03   2.12836682E-03 
  2.43122079E-03   2.53443382E-03   2.51333626E-03   2.31312168E-03   1.85606435E-03   1.60075290E-03   1.28237449E-03   6.95120999E-04   4.30026510E-04   2.70559696E-04 
  1.36518234E-04   1.37556567E-04   1.29822453E-04   1.15889602E-04   9.39787419E-05   8.35318193E-05   7.13816488E-05   4.91622375E-05   3.75106083E-05   2.74515950E-05 
  1.06424210E-03   1.02988101E-03   9.44998794E-04   8.03420083E-04   5.84531969E-04   4.83807840E-04   3.67742847E-04   1.78057541E-04   9.65854590E-05   4.86407968E-05 
  1.48515050E-04   1.52266857E-04   1.47899508E-04   1.39063983E-04   1.22478019E-04   1.13520346E-04   1.02890890E-04   7.98603604E-05   6.46882322E-05   4.73446720E-05 
  3.08120870E-02   3.16074392E-02   3.09794047E-02   2.87183309E-02   2.37450156E-02   2.09960612E-02   1.73867093E-02   1.04028671E-02   6.85741066E-03   4.16492924E-03 
  9.68182851E-04   9.62852520E-04   9.14509633E-04   8.26950628E-04   6.83061214E-04   6.11995586E-04   5.30122162E-04   3.85848382E-04   3.14543566E-04   2.49040841E-04 
  2.30598192E-03   2.41820286E-03   2.40980362E-03   2.23438942E-03   1.81605260E-03   1.57973592E-03   1.27698914E-03   7.18555084E-04   4.65316277E-04   3.05895781E-04 
  6.29094549E-02   7.85781435E-02   9.19500612E-02   9.86524975E-02   8.92863595E-02   7.85764645E-02   6.28725584E-02   3.66791090E-02   2.97813181E-02   2.65274551E-02 
  6.45068317E-04   6.22291957E-04   5.71682088E-04   4.99904861E-04   3.98934039E-04   3.52804268E-04   2.99284913E-04   1.96102088E-04   1.37529306E-04   8.70402265E-05 
  2.05665415E-02   2.11358377E-02   2.07117700E-02   1.88718855E-02   1.48973075E-02   1.26683065E-02   9.91228290E-03   5.19637376E-03   3.31803149E-03   2.20654955E-03 
  7.83413277E-05   7.90487727E-05   7.19179712E-05   6.33603303E-05   5.17756876E-05   4.68445447E-05   4.12470858E-05   3.15400239E-05   2.60734867E-05   2.02645962E-05 
  5.13542836E-03   5.08582301E-03   4.89657160E-03   4.44419770E-03   3.58687775E-03   3.11240065E-03   2.49009995E-03   1.32158878E-03   7.77073966E-04   3.59743625E-04 
  8.90759490E-03   8.75002130E-03   8.26114994E-03   7.43615804E-03   5.89017849E-03   5.10217425E-03   4.11839835E-03   2.33763265E-03   1.50934944E-03   9.40037196E-04 
  1.12588623E-03   1.08298984E-03   9.97553518E-04   8.53704365E-04   6.30336275E-04   5.24469889E-04   4.01660591E-04   1.89119278E-04   9.57075169E-05   4.18835510E-05 
