rho_a(412)  rho_a(443)  rho_a(490)  rho_a(510)  rho_a(555)  rho_a(670)  rho_a(765)  rho_a(865)  
  9.34936091E-05   9.32288669E-05   9.06296179E-05   8.87361758E-05   8.47773466E-05   7.39197583E-05   6.59775375E-05   5.90409257E-05 
  5.84551436E-04   6.24774852E-04   6.34799466E-04   6.23580562E-04   5.86839220E-04   4.66192518E-04   3.73923839E-04   2.99976523E-04 
  6.66593899E-02   8.32944932E-02   1.03313236E-01   1.09144932E-01   1.18767963E-01   1.23926353E-01   1.16597727E-01   1.03568837E-01 
  1.65508763E-03   1.73368035E-03   1.76221419E-03   1.74917836E-03   1.69837531E-03   1.49027011E-03   1.31643694E-03   1.14746126E-03 
  2.93754125E-04   2.78159332E-04   2.53249232E-04   2.42166720E-04   2.21381857E-04   1.80088868E-04   1.53732692E-04   1.34256068E-04 
  1.23616928E-02   1.21599902E-02   1.15350396E-02   1.12030826E-02   1.03744299E-02   8.32418625E-03   6.87892270E-03   5.63803512E-03 
  2.43435321E-02   2.43532918E-02   2.36383824E-02   2.30928837E-02   2.19381562E-02   1.90468149E-02   1.70949583E-02   1.55053809E-02 
  7.57566150E-02   8.50405607E-02   9.37618552E-02   9.54213259E-02   9.68582091E-02   8.91382183E-02   7.61358851E-02   6.12215883E-02 
  1.85456901E-04   1.82975817E-04   1.70433760E-04   1.63507974E-04   1.47474354E-04   1.11123643E-04   8.80333584E-05   7.18710086E-05 
  5.05252554E-03   4.90056115E-03   4.50609270E-03   4.31352653E-03   3.88290908E-03   2.90788368E-03   2.27732677E-03   1.78726685E-03 
  2.08648528E-03   2.20604654E-03   2.22042675E-03   2.18076912E-03   2.05293091E-03   1.64235835E-03   1.31249900E-03   1.04688043E-03 
  2.94616933E-02   3.01937525E-02   2.98369515E-02   2.93855334E-02   2.81166228E-02   2.45530620E-02   2.17291184E-02   1.92396764E-02 
  3.28886897E-03   3.22480053E-03   3.00670335E-03   2.89768179E-03   2.64193342E-03   2.04178144E-03   1.64303819E-03   1.33076202E-03 
  3.43924935E-02   3.41401012E-02   3.25445053E-02   3.16644096E-02   2.95605231E-02   2.40535287E-02   1.99952129E-02   1.64861326E-02 
  3.18540247E-04   3.11065478E-04   2.86548056E-04   2.74129450E-04   2.47530004E-04   1.93204704E-04   1.61077048E-04   1.39168236E-04 
  1.26294739E-02   1.37379045E-02   1.41620813E-02   1.39763756E-02   1.32471879E-02   1.06481404E-02   8.65319734E-03   7.11410578E-03 
  1.36653155E-04   1.44403764E-04   1.48004035E-04   1.47195157E-04   1.45157953E-04   1.35388636E-04   1.29474714E-04   1.25316915E-04 
  4.57997196E-04   4.72043276E-04   4.63170783E-04   4.52085846E-04   4.22666632E-04   3.40207305E-04   2.82535378E-04   2.39810623E-04 
  4.34477707E-03   4.27442928E-03   3.97119516E-03   3.80913006E-03   3.44824896E-03   2.67504666E-03   2.18565590E-03   1.82307685E-03 
  1.27504992E-02   1.34238358E-02   1.34923091E-02   1.32376620E-02   1.24721572E-02   9.98001833E-03   8.10108521E-03   6.63157981E-03 
  2.61581489E-02   2.56777434E-02   2.44235508E-02   2.37790701E-02   2.21980242E-02   1.83345685E-02   1.53724471E-02   1.28277207E-02 
  5.53971300E-03   5.40687234E-03   5.10677028E-03   4.94853732E-03   4.64557622E-03   4.01218658E-03   3.60677218E-03   3.30515161E-03 
  1.81942061E-03   1.76798116E-03   1.62851478E-03   1.55823265E-03   1.40129426E-03   1.05043130E-03   8.22893914E-04   6.55761156E-04 
  1.78638456E-02   1.76031536E-02   1.67629332E-02   1.62929129E-02   1.52162094E-02   1.25998764E-02   1.07799299E-02   9.32215002E-03 
  4.38496913E-04   4.28230287E-04   4.06503867E-04   3.96745034E-04   3.75777168E-04   3.32262975E-04   3.06001838E-04   2.87715595E-04 
  9.42386590E-04   9.22878492E-04   8.77501616E-04   8.58878980E-04   8.26432694E-04   7.56381215E-04   7.21911773E-04   7.08929658E-04 
  6.68796876E-04   7.24257039E-04   7.42136211E-04   7.31971169E-04   6.91678409E-04   5.45278414E-04   4.27008876E-04   3.30181125E-04 
