rho_a(412)  rho_a(443)  rho_a(490)  rho_a(510)  rho_a(555)  rho_a(670)  rho_a(765)  rho_a(865)  
  2.34175802E-04   2.42002883E-04   2.38442231E-04   2.33366396E-04   2.17482203E-04   1.73138463E-04   1.41084267E-04   1.15421799E-04 
  3.76571638E-03   3.62296986E-03   3.31857117E-03   3.17688767E-03   2.86437555E-03   2.17446720E-03   1.72256796E-03   1.37113816E-03 
  2.75247452E-04   2.81732218E-04   2.78386140E-04   2.76681102E-04   2.67049683E-04   2.41092960E-04   2.24241716E-04   2.08055130E-04 
  6.94989332E-04   7.61487882E-04   7.97228167E-04   7.92888190E-04   7.66118597E-04   6.49306702E-04   5.55025608E-04   4.82575814E-04 
  3.27457572E-04   2.76483803E-04   2.24116307E-04   2.08316208E-04   1.79786232E-04   1.33141123E-04   1.06833456E-04   8.77283410E-05 
  2.67260329E-03   2.60385297E-03   2.41338253E-03   2.31467364E-03   2.09552507E-03   1.62597997E-03   1.34733683E-03   1.15447286E-03 
  1.45011185E-03   1.45307072E-03   1.41163249E-03   1.37660004E-03   1.29429860E-03   1.06609551E-03   8.86201855E-04   7.36685734E-04 
  3.77508499E-03   3.64042069E-03   3.35430038E-03   3.22763578E-03   2.94920993E-03   2.32241547E-03   1.90923243E-03   1.56841551E-03 
  3.56963267E-04   3.70928891E-04   3.65724414E-04   3.57368539E-04   3.33403443E-04   2.65021700E-04   2.14544485E-04   1.74581588E-04 
  1.11883288E-02   1.11652655E-02   1.08121156E-02   1.05569437E-02   9.98567650E-03   8.50846061E-03   7.41932938E-03   6.50511153E-03 
  3.65144053E-04   3.73785296E-04   3.57568333E-04   3.43257442E-04   3.08461619E-04   2.24225678E-04   1.72043894E-04   1.39860915E-04 
  5.35517238E-03   5.57092027E-03   5.53191211E-03   5.40867705E-03   5.08823148E-03   4.18964610E-03   3.50922621E-03   2.96659837E-03 
  1.36310774E-03   1.31967220E-03   1.22893266E-03   1.18564435E-03   1.09469803E-03   8.89461272E-04   7.55562886E-04   6.53354455E-04 
  6.71620763E-04   6.47025980E-04   5.91732768E-04   5.66645562E-04   5.13227312E-04   4.09071303E-04   3.47820373E-04   3.10561223E-04 
  8.35857432E-03   8.15309769E-03   7.56071740E-03   7.26634317E-03   6.59193057E-03   4.99735051E-03   3.95382549E-03   3.10923519E-03 
  2.85637760E-02   2.83520882E-02   2.69540573E-02   2.61768893E-02   2.43081313E-02   1.93836866E-02   1.58089322E-02   1.27550017E-02 
  3.18442942E-03   3.07013436E-03   2.78778941E-03   2.65115622E-03   2.35916573E-03   1.73959723E-03   1.36837763E-03   1.09434756E-03 
  4.46648293E-03   4.35692912E-03   4.08857767E-03   3.96411492E-03   3.68230855E-03   3.02108526E-03   2.57187992E-03   2.19339447E-03 
  3.17878330E-02   3.21918894E-02   3.11126819E-02   3.02400680E-02   2.80051930E-02   2.19016526E-02   1.72708656E-02   1.35407355E-02 
  1.13679213E-02   1.19998243E-02   1.23578998E-02   1.23155469E-02   1.20883743E-02   1.10650318E-02   1.02717640E-02   9.58731962E-03 
  1.07499915E-03   1.04115613E-03   9.57620892E-04   9.18811028E-04   8.33011540E-04   6.45126024E-04   5.23163806E-04   4.30998663E-04 
  2.44278275E-04   2.51019495E-04   2.42972642E-04   2.35100513E-04   2.14470725E-04   1.59868491E-04   1.22170755E-04   9.41748148E-05 
  6.76153634E-03   6.81153192E-03   6.69196475E-03   6.55096094E-03   6.39878366E-03   5.75166399E-03   5.26808431E-03   4.79278856E-03 
  5.21109491E-03   5.25010171E-03   4.98611890E-03   4.82222840E-03   4.42060258E-03   3.45775421E-03   2.82981155E-03   2.37495266E-03 
  1.58318473E-02   1.72736860E-02   1.81005947E-02   1.80027018E-02   1.74338068E-02   1.46118872E-02   1.21764150E-02   1.01477788E-02 
  4.06233624E-02   4.08883702E-02   3.94981639E-02   3.85589080E-02   3.61290812E-02   2.94207115E-02   2.41980125E-02   1.97214686E-02 
  5.77654472E-05   6.01305722E-05   6.17038188E-05   6.18092288E-05   6.19329396E-05   6.14505889E-05   6.19457845E-05   6.29158514E-05 
  2.82397026E-02   3.82601046E-02   4.97567223E-02   5.24957251E-02   5.64654192E-02   5.54368060E-02   5.00280866E-02   4.31492615E-02 
  9.73131985E-03   1.12179179E-02   1.24793869E-02   1.26554220E-02   1.26538687E-02   1.12112201E-02   9.68594682E-03   8.33300317E-03 
  7.90027895E-04   7.58641765E-04   6.96709303E-04   6.70935328E-04   6.17661659E-04   5.12526530E-04   4.52615746E-04   4.12867130E-04 
  3.94094336E-02   4.02575466E-02   3.95801083E-02   3.88349482E-02   3.67136843E-02   3.01626832E-02   2.47499594E-02   1.99986385E-02 
  3.30185327E-02   3.55703131E-02   3.70020339E-02   3.68665562E-02   3.59711664E-02   3.11816280E-02   2.67938849E-02   2.28816178E-02 
  1.83670057E-03   1.81074063E-03   1.73552819E-03   1.69677433E-03   1.61401121E-03   1.43523416E-03   1.32675871E-03   1.25442381E-03 
  2.76352731E-03   2.78620783E-03   2.70705970E-03   2.63145567E-03   2.44732776E-03   1.93552293E-03   1.55237667E-03   1.23553575E-03 
  1.06347884E-03   1.09206288E-03   1.14413647E-03   1.15842199E-03   1.20702382E-03   1.30900132E-03   1.39822143E-03   1.48305520E-03 
  2.55788448E-03   2.45197563E-03   2.22748586E-03   2.12871982E-03   1.91414235E-03   1.46507569E-03   1.17871399E-03   9.61304657E-04 
  5.80879246E-03   5.68535783E-03   5.34236295E-03   5.15069965E-03   4.74258764E-03   3.78622695E-03   3.16869592E-03   2.70472712E-03 
  3.38564360E-04   3.68083409E-04   3.95640744E-04   4.04955150E-04   4.20321381E-04   4.32290769E-04   4.38441695E-04   4.32346304E-04 
  2.77483732E-03   2.63742488E-03   2.39935716E-03   2.29487967E-03   2.07032588E-03   1.59329111E-03   1.28027960E-03   1.03404263E-03 
  2.21644292E-04   2.17568269E-04   2.04633259E-04   1.98140467E-04   1.81621714E-04   1.42410692E-04   1.15026544E-04   9.44892247E-05 
  9.66327838E-04   9.24703610E-04   8.54091466E-04   8.20526681E-04   7.54420892E-04   6.17033820E-04   5.26195009E-04   4.56349492E-04 
  1.24210691E-04   1.30591553E-04   1.32145785E-04   1.30943967E-04   1.27665805E-04   1.17423532E-04   1.11354082E-04   1.09025941E-04 
  8.91874455E-04   8.56748960E-04   7.74501920E-04   7.38042099E-04   6.59804778E-04   5.02217569E-04   4.06120811E-04   3.35559980E-04 
  6.92757800E-03   7.02544247E-03   6.78132599E-03   6.57679978E-03   6.05804322E-03   4.70990469E-03   3.75084524E-03   2.99404888E-03 
  1.62983402E-02   1.73366543E-02   1.78556374E-02   1.76919155E-02   1.70641636E-02   1.43864488E-02   1.19016659E-02   9.60978686E-03 
  1.02029604E-03   1.00501358E-03   9.59442043E-04   9.32568957E-04   8.81031984E-04   7.54646607E-04   6.76658879E-04   6.25163829E-04 
  4.01148355E-03   4.38016035E-03   4.45690907E-03   4.35552507E-03   4.04478268E-03   3.15570717E-03   2.60003015E-03   2.27544392E-03 
  5.90573784E-04   6.26815372E-04   6.34308034E-04   6.25356655E-04   5.89920657E-04   4.73932129E-04   3.82341856E-04   3.05464902E-04 
  2.07854281E-03   2.04857460E-03   1.90484580E-03   1.82520190E-03   1.64768494E-03   1.25134658E-03   1.00201904E-03   8.24960955E-04 
  3.31256361E-04   3.47920891E-04   3.43634588E-04   3.35578110E-04   3.12564806E-04   2.46395265E-04   1.99538119E-04   1.63685554E-04 
  6.61853490E-04   6.34169536E-04   5.81405661E-04   5.57059284E-04   5.03985237E-04   3.89617253E-04   3.15932443E-04   2.59378190E-04 
  2.89343975E-04   2.98007777E-04   2.95749147E-04   2.91202140E-04   2.77447754E-04   2.38871846E-04   2.09961473E-04   1.88902522E-04 
  5.00820159E-04   5.09887587E-04   4.82192930E-04   4.60905068E-04   4.10639436E-04   2.96013460E-04   2.29325808E-04   1.90737448E-04 
  1.73475176E-04   1.75010184E-04   1.66244266E-04   1.59895122E-04   1.45350476E-04   1.12294385E-04   9.15021940E-05   7.73720671E-05 
  1.03414581E-02   1.01371833E-02   9.55909058E-03   9.26804779E-03   8.56082663E-03   6.89643786E-03   5.74972304E-03   4.78056733E-03 
  8.32035478E-03   8.92713423E-03   9.28443224E-03   9.27652840E-03   9.06583909E-03   7.97564618E-03   6.94996217E-03   5.97651304E-03 
  3.60442294E-03   3.54400885E-03   3.27843673E-03   3.13843094E-03   2.82962578E-03   2.17784982E-03   1.79000452E-03   1.51224106E-03 
  3.67035849E-04   3.60655110E-04   3.37527280E-04   3.25130508E-04   2.99192689E-04   2.39445585E-04   2.02738490E-04   1.73723833E-04 
  3.14620530E-02   3.31939615E-02   3.37426157E-02   3.34355263E-02   3.22459742E-02   2.76839657E-02   2.38049501E-02   2.04041360E-02 
  2.97152691E-04   3.36468502E-04   3.80794618E-04   3.94535219E-04   4.20198520E-04   4.41069089E-04   4.55329699E-04   4.72422168E-04 
  1.60562756E-02   1.69168880E-02   1.70802892E-02   1.68012138E-02   1.59476476E-02   1.31175363E-02   1.10032479E-02   9.37620869E-03 
  1.44197717E-03   1.39443842E-03   1.28905508E-03   1.23579984E-03   1.12210119E-03   8.70711133E-04   7.14916777E-04   6.02827264E-04 
  3.02704310E-02   3.13239020E-02   3.11559350E-02   3.05764339E-02   2.88086460E-02   2.30438618E-02   1.83882882E-02   1.45657851E-02 
  2.76503784E-04   2.80301864E-04   2.69748595E-04   2.60956636E-04   2.40592530E-04   1.90528877E-04   1.57879015E-04   1.34955873E-04 
  4.55510210E-02   4.95196916E-02   5.23090165E-02   5.23392876E-02   5.15767840E-02   4.64396822E-02   4.12660540E-02   3.63707366E-02 
  1.27497476E-03   1.26163982E-03   1.18303179E-03   1.13815995E-03   1.03378934E-03   7.87687729E-04   6.20974174E-04   4.95890535E-04 
  8.58229510E-04   8.22916582E-04   7.41255396E-04   7.05397739E-04   6.27998289E-04   4.72338162E-04   3.79030168E-04   3.12309872E-04 
  1.09752165E-02   1.07285819E-02   1.00207704E-02   9.67156001E-03   8.81897227E-03   6.85059982E-03   5.52895137E-03   4.44197494E-03 
  2.03320326E-02   2.00597778E-02   1.91871830E-02   1.86960845E-02   1.76424956E-02   1.50832890E-02   1.32438446E-02   1.17626604E-02 
  1.38457817E-02   1.42961625E-02   1.41855453E-02   1.39493072E-02   1.32161774E-02   1.08598761E-02   8.98223370E-03   7.32412303E-03 
  1.41180900E-02   1.83796147E-02   2.32660215E-02   2.44419604E-02   2.61357416E-02   2.55620893E-02   2.25715078E-02   1.88332316E-02 
  8.56045066E-03   8.41040606E-03   7.89823013E-03   7.62557308E-03   6.99652584E-03   5.51720986E-03   4.53085797E-03   3.77242745E-03 
  1.09777654E-04   1.13403854E-04   1.13593334E-04   1.12210946E-04   1.08386196E-04   9.82722912E-05   9.18411694E-05   8.74189994E-05 
  4.47961589E-04   4.72503958E-04   4.79545576E-04   4.73086868E-04   4.54992258E-04   3.94539062E-04   3.45901829E-04   3.08749806E-04 
  2.14322749E-04   2.17276880E-04   2.06438391E-04   1.98850736E-04   1.80324238E-04   1.37550795E-04   1.09938386E-04   9.00601177E-05 
  1.52452121E-02   1.54612312E-02   1.48440141E-02   1.43609370E-02   1.31139797E-02   9.84444918E-03   7.59494111E-03   5.87421621E-03 
  2.08887609E-04   2.18860343E-04   2.22398685E-04   2.19651037E-04   2.14011213E-04   1.91948761E-04   1.77247708E-04   1.68265821E-04 
  2.59167449E-02   2.53820393E-02   2.39532927E-02   2.32527202E-02   2.15177303E-02   1.74694783E-02   1.46114905E-02   1.20914378E-02 
  5.96617038E-03   5.73932084E-03   5.29443430E-03   5.07390870E-03   4.63542302E-03   3.75653183E-03   3.21764824E-03   2.81862825E-03 
  4.07773321E-02   4.16583027E-02   4.09336608E-02   4.01024314E-02   3.78850181E-02   3.12088401E-02   2.58794633E-02   2.14773745E-02 
  1.27922188E-02   1.29911204E-02   1.25449617E-02   1.21999084E-02   1.13131223E-02   9.03110761E-03   7.48503647E-03   6.28858023E-03 
  1.06678623E-02   1.02106922E-02   9.36416278E-03   8.97771076E-03   8.14757677E-03   6.36094710E-03   5.16936544E-03   4.21740838E-03 
  7.31223327E-04   7.98348075E-04   8.34387407E-04   8.27405037E-04   7.90047803E-04   6.30322531E-04   4.91991251E-04   3.74553689E-04 
  9.49805039E-03   9.40866291E-03   9.00681383E-03   8.78269009E-03   8.25224445E-03   6.90503406E-03   5.99857079E-03   5.22693822E-03 
  1.18542733E-03   1.16732295E-03   1.09440063E-03   1.05971183E-03   9.83973232E-04   8.21846776E-04   7.19168198E-04   6.43371134E-04 
  5.30412635E-04   5.08533724E-04   4.66052063E-04   4.46470447E-04   4.03957825E-04   3.13367667E-04   2.56151155E-04   2.13472264E-04 
  3.67245884E-04   3.87310257E-04   3.76826981E-04   3.63566335E-04   3.28368920E-04   2.43926097E-04   1.93064705E-04   1.60609533E-04 
  1.50181151E-04   1.64111705E-04   1.69589837E-04   1.67574409E-04   1.59889692E-04   1.36734383E-04   1.21532671E-04   1.12480511E-04 
  7.78972049E-03   8.02753011E-03   7.89327652E-03   7.70169423E-03   7.16080299E-03   5.56268555E-03   4.32666552E-03   3.33037837E-03 
  3.55934212E-04   3.59153039E-04   3.41444123E-04   3.29119089E-04   2.99117550E-04   2.27083791E-04   1.78230270E-04   1.41570476E-04 
  1.85303349E-04   1.78386313E-04   1.60873557E-04   1.52387943E-04   1.34166374E-04   9.63039323E-05   7.40951000E-05   5.80344195E-05 
  1.20467663E-02   1.25018257E-02   1.24667567E-02   1.22343325E-02   1.15268572E-02   9.23952048E-03   7.38035173E-03   5.81356364E-03 
  5.21400307E-03   5.03947148E-03   4.62527368E-03   4.43378977E-03   4.00470156E-03   3.04511558E-03   2.40927348E-03   1.91508294E-03 
  2.73036005E-04   3.20457576E-04   3.77550790E-04   3.93655865E-04   4.28554138E-04   4.75741841E-04   4.93030181E-04   4.92688164E-04 
  2.70100393E-02   2.74739756E-02   2.77437958E-02   2.76734953E-02   2.76193574E-02   2.72768210E-02   2.70122455E-02   2.67457418E-02 
  3.22455642E-03   3.10154836E-03   2.84800510E-03   2.73379039E-03   2.48215184E-03   1.95060008E-03   1.60910691E-03   1.35386645E-03 
  5.52880238E-04   5.62268561E-04   5.60286709E-04   5.53510028E-04   5.38679176E-04   4.94222528E-04   4.61716196E-04   4.31845662E-04 
  5.43495429E-02   6.19286093E-02   6.86662350E-02   6.97254253E-02   6.99781359E-02   6.16736278E-02   5.10351926E-02   4.04016885E-02 
  3.12493330E-03   3.39097295E-03   3.54180899E-03   3.52234405E-03   3.41660932E-03   2.93893193E-03   2.54230635E-03   2.23538632E-03 
  6.36114764E-05   6.40899718E-05   6.20633139E-05   6.06360634E-05   5.67718982E-05   4.70467090E-05   4.02025532E-05   3.47541883E-05 
  4.81116893E-04   4.63104227E-04   4.21981503E-04   4.02999734E-04   3.60944244E-04   2.69138354E-04   2.10551709E-04   1.66290636E-04 
  3.58461387E-04   3.51053607E-04   3.33436149E-04   3.23416151E-04   3.03266518E-04   2.59340585E-04   2.31316772E-04   2.10906683E-04 
  2.19239860E-03   2.59764233E-03   2.97058624E-03   3.03279942E-03   3.07342663E-03   2.78162861E-03   2.43059257E-03   2.11125204E-03 
  1.23141252E-04   1.32035663E-04   1.35029962E-04   1.33139410E-04   1.27153404E-04   1.06346793E-04   8.89751654E-05   7.41804666E-05 
  1.14349473E-04   1.28191353E-04   1.47241922E-04   1.54089302E-04   1.69430756E-04   2.02852689E-04   2.28170701E-04   2.50544354E-04 
  7.39456224E-04   9.57757075E-04   1.21627590E-03   1.29669485E-03   1.43634087E-03   1.65129503E-03   1.75045757E-03   1.81921887E-03 
  2.00225623E-04   1.96291709E-04   1.84797483E-04   1.78818910E-04   1.66021385E-04   1.39233177E-04   1.22861409E-04   1.11247660E-04 
  2.46021058E-03   2.39110651E-03   2.17099148E-03   2.06325557E-03   1.82644795E-03   1.34347880E-03   1.05426755E-03   8.52732168E-04 
  2.28471923E-03   2.25349375E-03   2.11199291E-03   2.03210080E-03   1.84507278E-03   1.40621967E-03   1.10872762E-03   8.77654862E-04 
  1.27619865E-02   1.26930732E-02   1.21776180E-02   1.18453230E-02   1.10548200E-02   9.02636054E-03   7.57519133E-03   6.39470268E-03 
  1.77676475E-03   2.07263628E-03   2.32074869E-03   2.35039106E-03   2.33959514E-03   2.01601167E-03   1.68019975E-03   1.38663678E-03 
  1.62269002E-03   1.65845000E-03   1.58637870E-03   1.52901430E-03   1.38162943E-03   1.00312564E-03   7.52778563E-04   5.64121393E-04 
  5.88767066E-03   6.41799788E-03   6.73599667E-03   6.88846585E-03   6.87686209E-03   6.46995416E-03   6.06845946E-03   5.52546058E-03 
  1.22225368E-03   1.21522549E-03   1.13807814E-03   1.09146340E-03   9.80890942E-04   7.24353645E-04   5.59560917E-04   4.39500603E-04 
  7.82409963E-03   7.71810641E-03   7.45665882E-03   7.29738497E-03   7.01249740E-03   6.32427765E-03   5.83881530E-03   5.46074413E-03 
  5.09913130E-03   5.00686339E-03   4.69012845E-03   4.52570135E-03   4.14797507E-03   3.33736483E-03   2.84402770E-03   2.50326106E-03 
  6.27068476E-04   6.06641502E-04   5.54646931E-04   5.30692973E-04   4.77269987E-04   3.61633055E-04   2.87213050E-04   2.31415945E-04 
  4.48347680E-03   4.29567289E-03   3.88072096E-03   3.69455191E-03   3.29523733E-03   2.49319918E-03   2.00399665E-03   1.64056099E-03 
  5.29644664E-02   5.89527874E-02   6.36342647E-02   6.41144065E-02   6.36245795E-02   5.64476886E-02   4.87674677E-02   4.16652718E-02 
  1.39330328E-02   1.37196150E-02   1.31271397E-02   1.27786883E-02   1.20457594E-02   1.02885081E-02   9.09256869E-03   8.12174412E-03 
  1.01186350E-03   9.78816564E-04   8.93002690E-04   8.49572668E-04   7.54328923E-04   5.53329837E-04   4.34871119E-04   3.51667851E-04 
  3.45558712E-02   3.83497183E-02   4.21633192E-02   4.29115930E-02   4.39203398E-02   4.26659350E-02   3.92511482E-02   3.47397414E-02 
  2.26652588E-03   2.17474944E-03   1.98664101E-03   1.89672505E-03   1.69976647E-03   1.26950200E-03   9.90569377E-04   7.79156749E-04 
  1.44003048E-02   1.44646037E-02   1.40298431E-02   1.36637797E-02   1.28376785E-02   1.07246076E-02   9.13843586E-03   7.79716520E-03 
  5.58489782E-03   5.36527727E-03   4.91985869E-03   4.72929867E-03   4.31473910E-03   3.41160461E-03   2.81052629E-03   2.32489383E-03 
  8.98759942E-04   1.04004089E-03   1.14120173E-03   1.14435389E-03   1.10919414E-03   8.89985935E-04   6.89727829E-04   5.19769615E-04 
  6.58157519E-02   7.23896644E-02   7.76542883E-02   7.83218123E-02   7.80012347E-02   6.94736066E-02   5.91362158E-02   4.85993496E-02 
  1.47101400E-04   1.47206045E-04   1.41145890E-04   1.37252931E-04   1.27613058E-04   1.07934702E-04   9.64752811E-05   8.92760506E-05 
  1.80814379E-04   1.88043421E-04   1.86090117E-04   1.82146699E-04   1.71534958E-04   1.39999968E-04   1.17128185E-04   9.94011522E-05 
  9.11946437E-04   8.97742036E-04   8.60693465E-04   8.44774966E-04   8.06596210E-04   7.14292292E-04   6.51928424E-04   5.96912773E-04 
  4.05936108E-03   3.86387071E-03   3.49552487E-03   3.34597925E-03   3.03637353E-03   2.39525088E-03   1.99472262E-03   1.67326242E-03 
  8.17216531E-02   1.00374383E-01   1.21438969E-01   1.27030298E-01   1.35036940E-01   1.33188751E-01   1.19360601E-01   1.01634462E-01 
  2.81227551E-03   2.87553683E-03   2.99877212E-03   3.01704557E-03   3.12982652E-03   3.25099939E-03   3.40908630E-03   3.57223303E-03 
  4.00153252E-03   4.01780369E-03   3.84007655E-03   3.71336875E-03   3.39386884E-03   2.58109498E-03   2.02585652E-03   1.60542494E-03 
  7.00760110E-04   7.39986865E-04   7.44196260E-04   7.30908982E-04   6.88048714E-04   5.50553269E-04   4.42408829E-04   3.56630103E-04 
  2.69860770E-04   2.59530390E-04   2.37614775E-04   2.27303740E-04   2.04378488E-04   1.54651726E-04   1.22724493E-04   9.86147917E-05 
  3.91116265E-02   4.25143830E-02   4.44947766E-02   4.43600899E-02   4.29006866E-02   3.53985382E-02   2.85259714E-02   2.22101382E-02 
  4.37097040E-03   4.63817739E-03   4.78896189E-03   4.76989084E-03   4.66754447E-03   4.19214899E-03   3.76969064E-03   3.41940771E-03 
  3.36171428E-03   3.23168964E-03   2.94841802E-03   2.81220651E-03   2.51099330E-03   1.85508831E-03   1.43602893E-03   1.12190371E-03 
  9.88103133E-05   9.89837073E-05   9.49612295E-05   9.25062074E-05   8.67296961E-05   7.49465555E-05   6.82982476E-05   6.41309069E-05 
  1.67064146E-02   1.75944185E-02   1.83324347E-02   1.84616829E-02   1.86367477E-02   1.83573971E-02   1.80589827E-02   1.78492169E-02 
  1.90964202E-02   1.86285827E-02   1.74962426E-02   1.68869495E-02   1.54760790E-02   1.20324349E-02   9.59164013E-03   7.59969325E-03 
  1.94718011E-04   2.09424419E-04   2.14658191E-04   2.13099344E-04   2.04496006E-04   1.76891858E-04   1.55595501E-04   1.41467878E-04 
  2.82651487E-04   2.86852924E-04   2.82090282E-04   2.75943964E-04   2.60586485E-04   2.14415205E-04   1.77285929E-04   1.46256158E-04 
  2.92677353E-02   3.31723611E-02   3.60851784E-02   3.62704809E-02   3.55599836E-02   2.96869873E-02   2.36715660E-02   1.83179690E-02 
  1.21333504E-02   1.26888185E-02   1.25919671E-02   1.23185422E-02   1.14826111E-02   8.85196747E-03   6.85010363E-03   5.22457763E-03 
  4.98456352E-04   4.82386798E-04   4.40828889E-04   4.21175051E-04   3.77185288E-04   2.79646048E-04   2.16831123E-04   1.69605335E-04 
  3.79407432E-02   3.82865661E-02   3.71126572E-02   3.61452786E-02   3.36464141E-02   2.66180753E-02   2.11438221E-02   1.65721317E-02 
  2.20903736E-04   2.16040968E-04   2.02130445E-04   1.95404086E-04   1.80938898E-04   1.50267325E-04   1.31725459E-04   1.19028199E-04 
  5.05147943E-03   4.82502996E-03   4.38941382E-03   4.19459575E-03   3.76990579E-03   2.87768124E-03   2.31053022E-03   1.88546159E-03 
  1.05935747E-03   1.02165193E-03   9.39782741E-04   9.03082984E-04   8.21706975E-04   6.47635472E-04   5.33791766E-04   4.50188618E-04 
  3.28758515E-04   3.22805865E-04   2.99457959E-04   2.86496937E-04   2.58988095E-04   2.01285189E-04   1.66894697E-04   1.44536496E-04 
  6.15002719E-04   6.31908797E-04   6.20028735E-04   6.05125442E-04   5.70801252E-04   4.77266121E-04   4.14294438E-04   3.71726916E-04 
  8.75613255E-04   8.33297195E-04   7.55861849E-04   7.21907764E-04   6.48921698E-04   4.96196875E-04   3.97878828E-04   3.23416114E-04 
  5.50050672E-04   5.28442510E-04   4.81361566E-04   4.58212704E-04   4.07867144E-04   2.99982092E-04   2.33957308E-04   1.85324148E-04 
  9.85246628E-04   9.50575255E-04   8.80837744E-04   8.49961263E-04   7.81958012E-04   6.35538351E-04   5.36956147E-04   4.59476905E-04 
  6.36654866E-04   7.11945829E-04   8.02506323E-04   8.30938223E-04   8.91725025E-04   9.81061774E-04   1.03352233E-03   1.05818466E-03 
  1.05836813E-03   1.05719930E-03   1.03855195E-03   1.03180479E-03   1.01050731E-03   9.78044528E-04   9.56963813E-04   9.45797744E-04 
  3.00744841E-02   3.00357953E-02   2.93789941E-02   2.88416451E-02   2.76430563E-02   2.42052937E-02   2.12487056E-02   1.83856270E-02 
  5.55565803E-03   5.48811082E-03   5.31713054E-03   5.21765150E-03   5.03550170E-03   4.62442050E-03   4.36540536E-03   4.13977348E-03 
  3.73489068E-02   3.73577211E-02   3.58546224E-02   3.49646636E-02   3.27433714E-02   2.69977178E-02   2.26783852E-02   1.89989530E-02 
  5.37734640E-03   5.33481571E-03   5.05992174E-03   4.88960744E-03   4.48745707E-03   3.49900589E-03   2.84306448E-03   2.34890392E-03 
  1.30078133E-03   1.44719339E-03   1.53918981E-03   1.53683609E-03   1.50333839E-03   1.35426271E-03   1.24635754E-03   1.17877817E-03 
  8.75510567E-05   1.04641679E-04   1.24019557E-04   1.29671230E-04   1.41332376E-04   1.60220375E-04   1.71406382E-04   1.80720931E-04 
  3.00136056E-02   3.16078335E-02   3.19304851E-02   3.15303103E-02   3.01893781E-02   2.57286607E-02   2.20990289E-02   1.91565431E-02 
  6.40385166E-02   7.42934638E-02   8.54420888E-02   8.82921574E-02   9.23618347E-02   9.14722606E-02   8.38036379E-02   7.30424424E-02 
  1.93882100E-04   2.09546756E-04   2.18997015E-04   2.18611910E-04   2.15194092E-04   1.95734557E-04   1.76832200E-04   1.60921759E-04 
  3.25125795E-03   3.26528925E-03   3.16855270E-03   3.08682141E-03   2.92304993E-03   2.49693267E-03   2.21013018E-03   2.00066137E-03 
  3.64060812E-04   3.61296920E-04   3.47107108E-04   3.38818475E-04   3.21166083E-04   2.73826439E-04   2.39526363E-04   2.09579254E-04 
  1.03768633E-02   1.11765959E-02   1.15529958E-02   1.14745233E-02   1.10436338E-02   9.16850839E-03   7.47603667E-03   5.99473252E-03 
  8.75586890E-04   8.45099057E-04   7.64149271E-04   7.23881268E-04   6.40338654E-04   4.76553157E-04   3.86085262E-04   3.31733451E-04 
  7.78294853E-03   8.25586945E-03   8.30842811E-03   8.13716332E-03   7.58388516E-03   5.81268793E-03   4.44252923E-03   3.34549532E-03 
  1.86294142E-02   2.03305571E-02   2.18384946E-02   2.21159900E-02   2.23339731E-02   2.13490324E-02   1.98038433E-02   1.81265691E-02 
  1.45536642E-03   1.39798805E-03   1.26924068E-03   1.20728779E-03   1.07140312E-03   7.85057029E-04   6.11946949E-04   4.85358343E-04 
  2.06467489E-02   2.10526653E-02   2.05273294E-02   1.99750698E-02   1.86737661E-02   1.53399121E-02   1.29636591E-02   1.11487243E-02 
  5.21475045E-04   5.15834703E-04   4.83433325E-04   4.64285897E-04   4.19014247E-04   3.16662190E-04   2.53792755E-04   2.08391083E-04 
  1.58573166E-02   1.54701306E-02   1.44106717E-02   1.39063560E-02   1.27490026E-02   1.00119870E-02   8.09266259E-03   6.51944766E-03 
  4.04732968E-04   3.93782521E-04   3.63370278E-04   3.48442891E-04   3.14709154E-04   2.39565531E-04   1.91296781E-04   1.55276488E-04 
  1.83055511E-02   1.86006276E-02   1.84560210E-02   1.81847728E-02   1.76659594E-02   1.62212436E-02   1.51463532E-02   1.42730492E-02 
  3.81116936E-03   3.62316633E-03   3.30308444E-03   3.16427622E-03   2.87834186E-03   2.28272024E-03   1.89254250E-03   1.58733225E-03 
  2.41404450E-02   2.52177625E-02   2.50726818E-02   2.45671389E-02   2.30248445E-02   1.81840985E-02   1.44086322E-02   1.13239728E-02 
  1.47520593E-02   1.47089809E-02   1.43300690E-02   1.40988863E-02   1.36246899E-02   1.25912112E-02   1.19390954E-02   1.14127598E-02 
  1.29821493E-03   1.24009983E-03   1.14370165E-03   1.09805725E-03   1.00717782E-03   8.13236358E-04   6.84222375E-04   5.85650491E-04 
  3.12783707E-04   3.20470464E-04   3.18452514E-04   3.11331464E-04   2.99309976E-04   2.60925688E-04   2.35908765E-04   2.18620299E-04 
  2.33342047E-04   2.26276685E-04   2.07417513E-04   1.99216524E-04   1.81284333E-04   1.45069971E-04   1.23758821E-04   1.08539694E-04 
  4.70035113E-02   4.72073287E-02   4.58255273E-02   4.47385624E-02   4.19523736E-02   3.40008325E-02   2.76671348E-02   2.22332738E-02 
  1.01791521E-02   9.73814142E-03   8.86736610E-03   8.48048222E-03   7.65595543E-03   5.91774556E-03   4.75466871E-03   3.84777732E-03 
  1.03193174E-03   9.74789132E-04   8.76963788E-04   8.35797813E-04   7.48749742E-04   5.73160989E-04   4.62537760E-04   3.79198511E-04 
